,Unnamed: 0,statnNm,rating,review,review_count
0,0,Flushing­Main Street,3.8,"Too crowded and messy place/parking is difficult and unable to meet \ n in a word \ n is complicated ~/Complex ..There are few seats in major restaurants such as Bucks, McDonald's, and Papis.The tremendous amount of saliva or tissue is on the ground, so it can reach the wheel or floor of the cart depending on how close the bag of baggage is on the ground.It is best not to do it. Most of the Chinese people I met were kind, but there were a few Chinese people who were rude and racist.The Flushing Library was doing it with me as if a Chinese guard was a dog.And the library has been open for 10 minutes, and employees can really be a ghetto regardless of race. They like to be chased and noisy in the library.The market can use the money to pay a luxurious vacation cost for yourself and the employee. If possible, go out from New York. \ N \It is Booth Memorial Ave. It is a very quiet peaceful neighborhood. There was a Western beef that was closed nearby, and it seems to be because it was more American and residents. ""I'm trying to make it, but it's hard to fix something that's been over 100 years, but it's still reliable, but it's not really different.It is a great place to share with friends because it has a variety of cultures and various kinds of foods, such as subway and buses.It is the terminal of train 7.Seven local trains always run to the station.급행 열차 7대가 주중 출퇴근 시간 동안 운행하며 정차역은 다음과 같습니다: Flushing-Main St, Mets Willets Pt, Junction Blvd, Woodside-61 St, Queensboro Plz 및 Queensboro Plz 서쪽의 모든 정류장.\n\n급행열차는During the weekday commute time, it runs only on M and 2.Local trains can only run on Track 1 outside of commute time.The rate control station can be found at the east end of Roosevelt AV or at the intersection of Roosevelt AV and Main St.Two fare control areas are not connected to each other.The metrocard machine in the central center is easy to malfunction, while the machine at the east end of the station is in good condition.Elevators and escalators are located at the east end of the station.The entrance of the central two -layer is easy to crow.Currently, construction and renovation are in progress to reduce the congestion of the station. \ N \ nmta bus can be transferred and connected: Q12, Q13, Q15, Q15A, Q16, Q17, Q19, Q20a/B, Q25, Q26, Q27, Q28, Q34, Q48, Q58, Q65 and Q66;MTA Limited Bus: Q17 LTD, Q25 LTD, Q27 LTD, Q50 LTD, Q58 LTD and Q65 LTD MTA selection bus service Q44SBS;N20g of NICE bus;And to the Fortwashington branch of LIRR.Few people speak English on the road.99%of them are Chinese.Flushing's supermarket is all in Chinese, and most of them are Chinese.It is very convenient to live in Chinese because it is almost indicated in English.But Flushing is dominated by Chinese people, so environmental hygiene is not very good.Basically, the characteristic of flushing is dirty and messy.If you walk, the New York police can't crack down and you can do it.Anyway, Americans rarely go there.But I remember that there were so many people.The same is true now.Except this time.There were so many people anxious and some did not wear a mask.Anxiety overload/""Very rude employee. I have met a lot of rude people for the rest of my life, I have experienced these staff, and I realized that my previous experience was nothing. I heard that I will start a YouTube channel.How to be rude 101. "", Not the worst and the best.The train stops and is always crowded every time everyone gets off.I just want the new steps to be modified quickly .../The final destination, Flushing ST Station, train 7 and LIRR (Next Block) Transit Long Island, Jamaica, Whitestone, Bronx, City Island, Bronx Zoo, COOP City Pelham BayVarious transit bus/Good place, and above all, clean/terrible and dirty subway station ??/The busy and busy city business district.There are many street vendors./ There are two entrances, so I like to go through the crowded area to go to Roosevelt and Main intersections or walk upwards in the union direction.Much more peaceful.Luckily my bus is right next to a peaceful bus and the murals of this station are there.I didn't know that it was the longest.But be careful with the criminals here!/An employee in the booth was rude and non -professional.She thought I was attending, but not in reality.Suddenly the machine was reduced and canceled the transaction and lost $ 15.The only help I can get was to call 511.Anyway, what is her problem, she's not suitable for this if she can't afford any pressure.Yesterday I was kindly asked if my card didn't work and helped me to transfer the balance to another card (two cards were damaged and one was good).She put my damaged card in her machine and showed me a bad face and continued to say, ""My computer can't read it.""“Then ask how to use the balance.She did not give me any solution.He continued to say, ""My computer can't read"" and ""Next.""next.""Next"" It's not over, but why did you call next? I hope you need more training.It's not just like a ticket seller who sells tickets.You need a service that is not so difficult. Bad experience./ It's so dirty that you don't have confidence in eating in the restaurant/perhaps one of the best stations in the entire system (IMO), and the train runs very often during the commute.It is very crowded due to dozens of bus routes that always stop here. The station itself is always clean and trash. There is a two -layer at both ends of the station, both of which are stationary booths.The Irish platform and three tracks are always used./This station is designed to accommodate about half of the passengers. It is very crowded in the morning commute time, but the train comes every 3 minutes.The streets of the mood of the mood/I used this role in high school, and I believe in me, and it's too crowded.Wouldn't it be a lot of money to build a train line? Of course, it will cost a lot, but it will not only benefit the elites, but will be rewarded.It is always a great experience to explore the origin of nature and culture!Especially in the peak time zone, it will slow about 10 to 15 minutes. Otherwise, it takes about 30 minutes by express in the peak time.See the red arrow to the train and tell me whether the weather is usually a train or express train.Especially in a hurry, it is very useful.Look a little ahead ./ The main street is the main street.I think I need a book to explain the taste properly.Many people pass by relatively quietly.The bathroom is usually open.It is safe even at night./ It would be nice to extend the train from Roosevelt Avenue, 149th ST, and 11th AV to College Point Blvd.More than 10 people were waiting in line to use the machine.Excellent service.The middle floor is wide and crowded during commute.A sign that guides you to the required bus transfer place.There are many bus routes.Every morning, the train to Flushing is so delayed that it may take 10 to 15 minutes to move from the Mets/Willet branch to the main street station.The booth staff are really rude and screaming at the customer for no reason.They clearly have no educational background.""Why do I need to help you and treat you like you?!""lol.This is the appearance of our MTA employees .... Only New York's best people!Teach the city employees how to act politely, and if you can't do better than GEDs, send it to at least a charm school.Damn it shame./ crowded and dirty.The escalator does not continue, and passengers are still pushing to enter the train while they are still trying to get off the train.In particular, as the weather got colder, there were more homeless people.There was a really terrible body smell all over the station.I know that she doesn't like her job, but she was still rude. \ N \ n is dirty.Crowded and dirty.It's not safe, crowded and unclean.There's a!/Train management is inappropriate and is delayed every time. \ N \ n train always stops between this station and the previous station.So no matter how late, I can't go outside.Here, ""I'm sorry for delayed. I'm waiting for the train dispatch manager"" ????????There will be only one thing./It is a great subway station.I like the whole area.It's as if you're in a similar place.There you can find a lot of fresh products and strange foods there. \ N \ n is a great subway station.I like the whole area.It's like Asiana, and you can find a lot of fresh agricultural products and strange foods.Everyone has gained the trust of everyone./ People (people who live here?) Is very rude and not caring when trying to ride on the train.They are forced to get to settle down first without waiting for someone to go first./ Very busy, dirty, and cramped.Have lunch in McDonald's and Papyce.It's constantly confused about which platform to take a tonsil train.Passengers often miss the train because they are misunderstood by signs or one minute before the train departs.Anyone who visits New York should take a walk to the main street flushing shops and restaurants.//In the main street that loves the IRT flushing line, it can be a bit difficult to predict which platform will reach.This causes people who run between trains, confusion, etc., and are always very crowded, always very dirty and odor.I had to wait 30 minutes between the last stop and the Mets until the train started moving, which is the last of seven trains in Queens.It is also a place where many bus routes gather as well as LIRR's port Washington branch.You have to modify the elevator a little .../Homeless is a dirty business.I know it's a bit unreasonable to demand better cleaning.There are a lot of people on the side of the road, and pedestrians are uncomfortable to walk.Another advantage ????…/There must be a common toilet and a wheelchair access./ Cold/It's one of the most crowded places in Queens.If you want to meet Asians and want to eat Asian food, this is perfect.Is there a problem with AC?This problem remains unresolved for about two weeks now ./ The station is clean. Where is the chair?Really busy train station.You have to walk a lot.People pushing and pushing.They try to keep it clean, but they need more employees.The train is expected to be delayed frequently.I put money but nothing was on the card.And I talked to the cashier, but the cashier was always angry and rude.I don't know why.The fee continues to rise, but the service is still not good.It is very poor ./ This is a small Asian city and a good food spot.I brought 5 packs of soccer socks for $ 2.I really like it./ It is conveniently located in the main street flushing, clean, the window staff is friendly and polite, and very busy during commute.You must switch to a urinal with a facility that can wash your hands./ The main street flushing is very busy and dirty.We offer facial masks and disinfectants.12-22-20 PM Start/Very good !!If you know what that means, thank you so much ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha.I have a lot of people to kill a lot of people with my feet, and some people in the lower floor are courageous to say that they are rude!I need it/clean, good station/there are many places to shop and the police are well arranged.Chinese people in this area are basically rude and not speaking English.If you just take a bus or walk there, it's on the subway.You can solve the signal problem!/Great/It's a good place to easily use trains 7./It's probably one of the best stations of the MTA./ Oh Lord, Lord, guide me to this land and placeIt is true that it is impossible to pray for me, but the Lord is generous/excellent abstention from the guide \ n is an excellent customer service girl/a good stop.Sometimes sometimes smells of urine.In summer, it's as hot and crowded like hell..Non -managed, as busy and full of people before Corona./Good place/This is a homeless shelter and is full of very rude Chinese !!/Well.I don't mention it, but I'm honestly dirty and ugly./It is a good place to meet new people.Let us come and go out./I like to ride the subway./There are many good Asian restaurants./ Awesome experience./ Next is a picture of Flushing Main ST in 1939./ The people pushing and pushing are too crowded/R188It was announced as Flushing-Main St./ The best train service in our city/dirty.Always broken escalator.I'm crowded: I wonder why it smells .../I need to maintain/every day here ㅋㅋㅋ/Great.So overcome!??/busy.busy.I'm busy./B/Well Service",287
1,1,Mets­Willets Point,4.3,"All the trains stop here, and the park next door is beautiful.Line 7's service is solid./ The large station built in 1927 was very helpful for a great world fair called Flushing Meadows Park in the 1930s.The following is a picture from the 1927 to the 1960s.The biggest advantage is that it also serves as an entrance to the stadium.There is no elevator or escalator.Go to the Mets./ I have been a lifelong fans since 1998 and I enjoy my favorite Queens team and enjoy every moment in the baseball field.LGM!Subway Series & Of course, there's no better way than the victory of Mets ????After the game, the train is often operated, so you don't usually have to wait and return to Manhattan.Faster than driving!/Somewhat neglected subway station.Maintenance is required.When you get off at this station, you will go to the Mets Baseball Stadium.(City Field)/Mets Stadium and Flushing Medo -Corona Park are adjacent to Corona Park.It provides very wide platforms and very frequent services (like other lines 7).It is sad that there is no garbage completely, and there is no elevator that sometimes the station is crowded.Very quiet and quiet.I bought seven tickets that are not too crowded.I bought seven more tickets for the right game, but when I called the customer service to cancel the wrong game, it was impossible to refund it.They suggested exchange, but I already bought the right game ticket.Terrible thieves!/There is no consideration for people with disabilities and strollers.There is no elevator in the station.Should the stroller should be carried by stairs and the disabled should jump out of the stairs ???I'm crazy !!The bathroom is messy./ It is really good that Citifield and Flushing Medo Corona Park are close.Sometimes it is a bit crowded and there is no elevator.The layout of the subway and the LIRR is a bit confusing but still likes.location.I want to attend the game there someday./ I like the game I met/Major League Best Stadium/Although the line was crazy, it was a great game, and it was expected to have so many people.To be a good view/I like the beautiful scenery of Flushing Medo Park.It's really good in summer./ A good place to enjoy the baseball field./ You can walk to the park.In the rest of the time, you can walk with a circle.Baseball Stadium/Where is the best NY stadium?I saw a unique station composition/I saw a Christmas tree and a playground of the Chinese theme.This is.Beautiful/Today's maso.enos/Queen's to Manhattan is good to move and move./L, 7, 11 trains ./ Panda Festival is great/Good station/Mets!Memories/House !!!that.…",106
2,2,111 St,3.3,"It is a basic and functional station, but not gorgeous.In most cases, I don't wait for a long time, but I have nothing more to say.On a rainy day, water is piled up in a certain place, which can lead to a huge pool.It's not ADA complaints.You can use free shuttle buses from the main street here ... You can enjoy boarding/not the best station, it is not the best station, it is impossible to access the bathroom or wheelchair, but it is easy to find and always provides service, flushing parks, shops, restaurantsIt's close to it.great.More than 500 people are waiting for the shuttle in 39 degrees.It's not okay.There are so many people who push you and push you!Some elevators have a cable tape.And those three small wooden doors should be gone./ When there is a big event in the Flushing Mado-Corona Park, it is very crowded to the 111st Street of Subway Line 7./ Very dirty/great?I like it ??…/There are seven express trains on this station.There are too many pigeons !!!!!!/Work training/I looked good/dirty garbage/service is not good.",79
3,3,103rd Street­Corona Plaza,4,"I am at least two feet taller than everyone in this station.If you go to the street, it's really a third world.I wonder why I immigrated from corrupt countries.It is not so bad to act as if I am ready to close the door when I start talking with one of illegal vendors.Most of us are paying for free here.You can't get worse here.To confirm that Corona has made progress in the last 30 years, you only need to have two mice who died on the street.I put it on the card.Then I went to the exchange and asked me to put the amount I wanted in the card, and the machine told me that I had nothing to do with myself as much as I had to go.Try it.It is not written anywhere in the station and it is completely unfair.I feel robbed !!In addition, the machine's machine must break down at that time and cause delay to the user.This should be modified and alleviated by the train station user.Please do it somehow !!!/This Walgreens administrator seems to like to keep your customers in line.Very time waste.Try not to come here.It may be a very slow service or lack of manpower.I don't understand why I like people waiting for a long line.And I wonder why this review is on 103th Street Corona Plaza ...Like the third word, there are a lot of traffic, dirty street and street food stalls.I made two $ 50 bills by mistake to buy a seven -day pass, and I realized at night.So I came again tomorrow and I told you to go to find yesterday and told me that there was nothing. \ N \ nThe male staff at the window hires two soldiers and steals one of them.People just push and push to descend the stairs.This station requires two more outlets, from the platform to the distance.There are many new feces on the floor.7 organizations are frequent, but the train is smaller and smaller than the E train.Overcrowded trains, signals are old -fashioned and always malfunction, causing a wide range of delays.This train arrives continuously, so there are three stars.If you're not good at everything else, you can at least do one thing.The only missing one is a wheelchair approach. \ N It is not a express stop, but only a regional route operates./In this stop you can see calm.. \ nof.many.Bums.a.quiet.Area./ It's a really nice day.Thank you for all that God has given us.Enjoy a lot of blessings and happiness.You can make a renovation work like the other seven train stations.Thank you for changing your system today.The protection and security have been strengthened, making it more confident.This area is very dangerous at night.It's helpful a lot/Super, great information/how well you repaired, how clean it was/I lived here for 20 years, and that's why.Since I started to display, there are 4 stars/XD I don't like many people/I have a lot of kind people/great/great service/very good place ..../terrible service!/Good place/busy subway stationIt's a subway station.Thank you./It is better to know the traffic situation./Nutrition Club 103_10 ROOOSVELT AV/Very good ??/It's great ??????…/It's useful/push and push/It's beautiful.The MTA must renovate this 1776 station.now????I'm tired of broken stairs and paint on my head./Junction Blvd and Roosevelt's corner is so terrible to walk because it is full of worse merchants than the market and it looks terrible.Will.The MTA staff was very difficult to understand.Is there a broken English?Do you have any money on the card?I checked at her booth and obviously asked a foreigner because it was 0.00.The minority police officers could not search me so that they could not give a simple answer, so I walked to the Grand Avenue next to the Queen Center and refused to ride a free ride with tourists.I refused to pay for the failed system.It can be better like NYC's people.When snow falls, the stairs are dangerous and no one is cleaned.A rude counselor who takes attitudes when needed.Dirty elevator and platform.It is the most disappointing station I have been to, especially during commuting time, always runs frequently.There is a completely ADA regulations and no garbage.I can read my debit/credit card, but I can use the cards quite elsewhere and I can't read it in good cases.Is always crowded ./ There are many shops around, and there are many shops around./The service on Line 7 is very good and good.The same: Luxury Juan/New York is fine and politics is not interested in our necessities.It's so bad.My friends have been blamed because I pronounced/blvd ""belved.""Never go home late/Various dresses and very cute/seasonal standards.Ugly Latino/Excellent Location and Route/Very Busy Region/Very Good/Perfect Place/Various Spanish People/Very Interesting Places/Good.Tint/Very attractive/because I work in this field!./ Baccano/Tamale/Tremendous!",329
4,4,Junction Boulevard,4,"MID is a terrible reverse ??The MTA must renovate this 1776 station.now????I'm tired of broken stairs and paint on my head./Junction Blvd and Roosevelt's corner is so terrible to walk because it is full of worse merchants than the market and it looks terrible.Will.The MTA staff was very difficult to understand.Is there a broken English?Do you have any money on the card?I checked at her booth and obviously asked a foreigner because it was 0.00.The minority police officers could not search me so that they could not give a simple answer, so I walked to the Grand Avenue next to the Queen Center and refused to ride a free ride with tourists.I refused to pay for the failed system.It can be better like NYC's people.When snow falls, the stairs are dangerous and no one is cleaned.A rude counselor who takes attitudes when needed.Dirty elevator and platform.It is the most disappointing station I have been to, especially during commuting time, always runs frequently.There is a completely ADA regulations and no garbage.I can read my debit/credit card, but I can use the cards quite elsewhere and I can't read it in good cases.Is always crowded ./ There are many shops around, and there are many shops around./The service on Line 7 is very good and good.The same: Luxury Juan/New York is fine and politics is not interested in our necessities.It's so bad.My friends have been blamed because I pronounced/blvd ""belved.""Never go home late/Various dresses and very cute/seasonal standards.Ugly Latino/Excellent Location and Route/Very Busy Region/Very Good/Perfect Place/Various Spanish People/Very Interesting Places/Good.Tint/Very attractive/because I work in this field!./ Baccano/Tamale/Tremendous!Required.The MTA must renovate this 1776 station.now????I'm tired of broken stairs and paint on my head./Junction Blvd and Roosevelt's corner is so terrible to walk because it is full of worse merchants than the market and it looks terrible.Will.The MTA staff was very difficult to understand.Is there a broken English?Do you have any money on the card?I checked at her booth and obviously asked a foreigner because it was 0.00.The minority police officers could not search me so that they could not give a simple answer, so I walked to the Grand Avenue next to the Queen Center and refused to ride a free ride with tourists.I refused to pay for the failed system.It can be better like NYC's people.When snow falls, the stairs are dangerous and no one is cleaned.A rude counselor who takes attitudes when needed.Dirty elevator and platform.It is the most disappointing station I have been to, especially during commuting time, always runs frequently.There is no garbage completely compliant with ADA regulations.",384
5,5,90th Street­Elmhurst Avenue,3.9,"The entrance to the southern stairs of the station was closed for two weeks, but I don't know why I couldn't see a repairman day and night.Inside the station, the main gate of the platform that connects the two directions (Manhattan and Queens) is closed within almost half of the time.It is actually important to this specific station because only the train from Flushing has been operated in the nearby 82th Street for several months, and the commuter people may have to go to Flushing and transfer to the Manhattan train.It also makes other tickets much more busy. \ N \ N On weekends, trains that go to Manhattan do not run this station. \ N \ N At least 82 stIt is not as bad as it is, so it still offers two stars.On Sunday, July 16, 2023, around 3:35 pm.No matter who the agent was (I have seen this man in the 111st station), I have to send a social technical course.He is almighty, and he seems to act accordingly if he does not like it.It is a typical person who thinks of himself as a god when he feels a little rude and a little superior than others./ Old train station is almost unlimited and needs a lot of improvement.But I like Jackson Heights.Every time I was in this area, I always enjoyed local food and enjoyed it.delicious.And home drinks are fantastic.This time I ate coconut.??????…/I was very disappointed by this person (perhaps Asian).Why can't he speak well?I told him that my unlimited subway card didn't work and refilled two days ago to help help, but he was too rude and screamed.And I really regret that I talked politely to him. \ N The train is always clean and clean.And it is also time for time./ I live nearby and take the subway almost every day.Every time I asked him for help when the Asian worked there, he always disappointed me.Today, when I was trying to swipe, the unlimited subway card didn't work, so I asked him to go for the second time.He gave me an envelope and said that I couldn't read this subway card, so I had to send it to repair it.I knew that the card was still valid and he at least…Wow more detailed/Wow INGREIBLE THE FOODSTAND by 90 The Street SooooooooooOOOOOO Descasten Fool's new pops, Adam Le, and people do not see it.Send the same product to clean or close this supplier forever.Roosabelt is not an old coinos Mugwe./ A great service.The station is small but all needs ./MTA's ugly service is that the metrocart machine is useless and the booth's old lady doesn't want to sell it.There is not enough train to Manhattan.But on the other side of the completely empty platform, more trains came and in the afternoon, the side to Queens was completely full.There is a train and once again, the train comes more often on the other side of the platform, but there are no people ... MTA must solve it together.The rate is continuously raised, but the service is limited.You cannot transfer to another train or bus.It is kept clean and snow is always pickled with salt.Staff of the station.If you have a delay, walk 2 stops up to 74th Street.It is better to be here than nothing.You can also use reconstruction or comply with ADA regulations.It was amazing to get the ticket we wanted. You can use Manhattan and Flushing Trains here.There is no elevator in this station./A place where you can taste Latin flavor/XPRES must pass before 6 am/Good quality flower/7 train.The worst train.It is always delayed./Madi and John are the best in the west !!/Weekly maintenance has a lot of effects.careful.There is almost no tragedy/Ah Colombia and Empa./Very good services!Checkup/Upgrade Upgrade",92
6,6,82nd Street­Jackson Heights,4,"For some reason, I always get off and transfer to the E -train, but I think it's pretty good, but it's pretty good.It's a good train station, but I saw a poster of asbestos that has asbestos in the service booth.I still go here often, and I'm still wondering what's going on there.Ignore the Google guide to guide you to ride the Manhattan train here., R, M, E, F).I like the bus to Laguatdia Airport.It would be nice for the escalator to work every day, the cleanliness should be improved, and the elevator is very slow.If you visit Queens, you must eat or party at this street./One dirty station is closed.This is a typical station that MTA has forgotten.The closed side may be better.The good thing here is that if you get out of this station and go to the streets, you can easily access restaurants, discount stores, cafes, gift shops, groceries of various people, and even stalls that sell street foods.Most of them are authentic Mexico and South American food.In detail/on weekends, there are many people and very slow stations, and this station has a long time ago, but it offers a great view of Manhattan, Long Island City, and Queens Skyline.To tell everyone in advance ... There will be a lot of humans.I work only one person from 6 pm to 7:52 pm, and I need to educate employees and line up for paying in a very bad way.Since the customer service is poor, I think I should think about the suspension of service.Many people complain about this, so I believe this is a common problem here.Be careful, swipe!When I got a job at NYC, a man in Mad Men (Ken Cosgrove) decided to move here impulsively because he lived here in the 1960s.So I thought, ""Why not?""Love Love!/(Given Google Translation) It's a very functional station, but it's a long staircase, so it's impossible to access the disabled. Line 7Like the station, it is the only train station that operates very often and has no garbage.We do not comply with ADA./ Ticket sales offices that everyone can use and have a very pleasant atmosphere and I would like to recommend it for customers.Therefore, I will give you 10 points./ I like to walk and shop at 82th Avenue near Roosevelt Ave./ I was my subway station, but I like it so much/There are so many pains next to the great station/82th and loose beltAvenue is not for scared people ... Joy of various foods ??If you can have an open mind, you will be able to find it ??/It's a very functional station, but the stairs are long, so people with disabilities cannot access.But on weekdays, it gets better./There are a lot of people from the morning/It's very difficult to find a space to park tea./82 I like a lot of shops and restaurants around here.It's not bad, but it's not good.This stop, but it's very clean ./?????/Dirty and always congested/This application is really good.Great/Totally Latin neighborhood/very good location/Good external station/very good/headquarters/this.Take a very good access/bus to Laguadia./ Very good and useful/great station/I like Jackson Heights./ Good/Very good/Well, Reversal/Common/Beautiful memories…/A lot of dust",97
7,7,74th Street­Broadway,4.1,"The bus terminal stop is still a very convenient subway station.Elevators and escalators usually work well, but the elevator sometimes becomes dirty.????????????????/Convenient but may be better.My favorite point in this station is a sign that guides (E) (F) (G) (G) (R) (V) directions in the center of the southern direction.I transfer to the ./8 train from the train downstairs E/F @ Roosevelt/Jackson Heights and go home.Busy place",18
8,8,69th Street,3.7,"This station is not the most crowded and enjoys the scenery on a beautiful day.I got a wonderful city view.It is between the 61st St.-Woodside Station and the 74th St.-RooseveLT station.Still, the neighborhood is good.It is old.You can't use the elevator, but you can go to the 61st Street where you can use the elevator and the general and express stop, and you can easily move to the Long Island train station.There is no garbage, but a renovation work may be required (as of August 2016).Wheelchair access is not possible./ The subway station requires repair, paint, elevator.Line 7 service is good.I will give you four stars from the funny number.It is very dark because there is almost no lighting/around it.I'm glad I don't have to come back here.Buses and shops???????…/Two useless employees sitting in the booth/station status requires improvement.And Roosevelt stop/Once again MTA service is the worst./ also called Fisk Avenue./venomous",47
9,9,61st Street­Woodside,4,"61 Street-Woodside is a pretty bad station.The platform is slightly small because of a lot of transit.There are Lirr and Q70/Q53.The infrastructure of the station must also be updated.But I really like the scenery of this station.It is also a very easy way to approach LIRR.I also like the entrance to the flushing platform and the brilliant signs on the stairs.COM Difinitve Astronomical Projector6cammmra./ Good/Lirr and Subway, \ N \ N. The prospects are really good.Public toilet in the station.Go up the escalator.Line 7 of Lirr and MTA is available.The station is on the ground.The platforms of the two trains are all outdoors and are partially covered.On weekends, services are often changed.There are many bus routes that stop here.It is also a very clean station with a two -layer of large -scale two -layer for Lirr.In addition, it is completely accessible to a wheelchair!/""It is a major hub with Express No. 7 and LIRR, but there is not much atmosphere in the station that is the coldest, windy, and constantly constructed in New York!There are various meals and drinks options in me. "", It's a really good station, but the only problem is that it becomes a bit dirty .../The station close to my house is very clean.I lived to inform the truth.Official \ n God heals incurable diseases, Cancer AIDS Curse Curse Equatria Most Diseases of the Body of Cigarettes in the Body of the Body of the IDMJI x WWW IDMJI Org.It is convenient to switch to the official/long Island Rail Road, but the station is much more clearly dirty than the Long Island Rail Road.It's terrible in the morning and what will happen when it rains or snow ..../Do you want to help you find a missing person?If you see something, say something.The station attendant was kind and the station was clean and well managed.So good…/Clean and clean subway.Connect to LIRR.There is also a Bank of America atm booth./ They keep the train stop very clean/Good location, clean and very professional service, fast and demanding.Reasonable price.Average $ 15.00 per person/Great/Ada Disabled seats There are seats that are available for the disabled. There is a bathroom..People were kind and informed you of the ticket purchase.The train is full./The escalator does not run during the day.I don't think it's open from 11 am to 6 pm.It doesn't make sense./ The apartment was cute but too small .../This station received A and the staff was clean and the staff was well arranged.Every time I always get off here ??/Express stop is the best stop.There is no better way to go to Manhattan./????…/LRR is a middle point./Escalator that is broken every week \ n I really hate MTA/Very clean and careful. Comfort/Excellent/Cold/Beautiful Sights/Good neighborhood/I live in Uside/There is a Lirr next to train 7./LINRR.",77
