,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,서울역역,0.0,0.09338796883821487,0.0,0.8788440227508545,0.011269028298556805,0.01626499369740486,0.0,0.33724308013916016,0.0,0.2452753186225891,0.1935817301273346,0.2236655205488205
1,남영,0.012929673306643963,0.1683647334575653,0.012958019971847534,0.6653908491134644,0.1274031698703766,0.012953500263392925,0.012861439026892185,0.5788649916648865,0.012867189943790436,0.012992209754884243,0.3694543242454529,0.012959824874997139
2,용산,0.0,0.11696027219295502,0.0,0.872473418712616,0.0,0.0,0.0,0.32631874084472656,0.0,0.1811445951461792,0.3229779601097107,0.16915453970432281
3,노량진,0.0,0.14186307787895203,0.0,0.8403980135917664,0.0,0.014180967584252357,0.0,0.27168864011764526,0.0,0.18390408158302307,0.302476167678833,0.2395666092634201
4,대방,0.0,0.0,0.0,0.8885954022407532,0.08902258425951004,0.0,0.0,0.3008013963699341,0.0,0.14007307589054108,0.21330460906028748,0.3345232605934143
5,신길,0.0,0.07931315153837204,0.0,0.9041240811347961,0.0,0.012060549110174179,0.0,0.39909765124320984,0.0,0.276170551776886,0.19900822639465332,0.12272890657186508
6,영등포,0.0,0.09366612881422043,0.0,0.7666738629341125,0.0660252794623375,0.0704018846154213,0.0,0.39714953303337097,0.0,0.17422546446323395,0.40481626987457275,0.020583203062415123
7,신도림,0.0,0.0970199927687645,0.0,0.8440124988555908,0.0,0.057134244590997696,0.0,0.3418140113353729,0.0,0.14270715415477753,0.1533179134130478,0.36093869805336
8,구로,0.0,0.1104930117726326,0.0,0.8246495127677917,0.0,0.05899600312113762,0.0,0.14416472613811493,0.0,0.22319094836711884,0.1187710091471672,0.5099572539329529
9,가산디지털단지,0.0,0.015519904904067516,0.0,0.9529372453689575,0.0,0.027272120118141174,0.0,0.2278250753879547,0.0,0.34503409266471863,0.2722721993923187,0.15201839804649353
10,독산,0.0,0.07671903073787689,0.0,0.843743622303009,0.0,0.06944267451763153,0.0,0.22737380862236023,0.0,0.3970182538032532,0.1318959891796112,0.2369992583990097
11,금천구청,0.0,0.13898992538452148,0.0,0.8496341705322266,0.0,0.0,0.0,0.25512805581092834,0.0,0.12430396676063538,0.4492464065551758,0.16563495993614197
12,석수,0.0,0.0,0.0,0.9728919267654419,0.0,0.0,0.0,0.43510740995407104,0.0,0.15196606516838074,0.09141087532043457,0.31059709191322327
13,관악,0.0,0.20691540837287903,0.0,0.7829126119613647,0.0,0.0,0.0,0.2899165749549866,0.0,0.11000581830739975,0.43067291378974915,0.1643030345439911
14,안양,0.0,0.043428368866443634,0.0,0.9439156651496887,0.0,0.0,0.0,0.21310292184352875,0.0,0.26299116015434265,0.40181964635849,0.11574529856443405
15,명학,0.0,0.0,0.0,0.6370385885238647,0.3323548138141632,0.0,0.0,0.34103164076805115,0.0,0.0,0.1810527741909027,0.45496895909309387
16,금정,0.0,0.11475510895252228,0.0,0.794296383857727,0.0,0.08754253387451172,0.0,0.48426905274391174,0.0,0.11595749855041504,0.28714606165885925,0.11035893857479095
17,군포,0.0,0.2559465765953064,0.0,0.7272871136665344,0.0,0.0,0.0,0.0965011864900589,0.0,0.1277523636817932,0.359372079372406,0.40792855620384216
18,당정,0.0,0.17302857339382172,0.0,0.7686794400215149,0.0,0.0465288907289505,0.0,0.39447271823883057,0.0,0.10547734051942825,0.27924221754074097,0.21299901604652405
19,의왕,0.0,0.0,0.0,0.7996431589126587,0.1686118096113205,0.024740444496273994,0.0,0.2545982301235199,0.0,0.3959813416004181,0.09851574152708054,0.246245875954628
20,성균관대,0.0,0.0772060826420784,0.0,0.9143974781036377,0.0,0.0,0.13149771094322205,0.2568962275981903,0.0,0.3561323583126068,0.16903111338615417,0.0843360647559166
21,화서,0.0,0.13183292746543884,0.0,0.8509404063224792,0.0,0.0,0.0,0.33935436606407166,0.0,0.25620007514953613,0.0994899794459343,0.2963542640209198
22,수원,0.0,0.052754584699869156,0.0,0.9145210385322571,0.0,0.03133898228406906,0.0,0.27532854676246643,0.0,0.2846422791481018,0.3371315896511078,0.10197612643241882
23,세류,0.0,0.0,0.0,0.7912139892578125,0.18845196068286896,0.0,0.0,0.3960959315299988,0.0,0.5835282802581787,0.0,0.0
24,병점,0.0,0.0,0.0,0.979508101940155,0.0,0.0,0.0,0.3773021996021271,0.0,0.08176618069410324,0.24689029157161713,0.2858428359031677
25,세마,0.0,0.0,0.0,0.7266877889633179,0.23373420536518097,0.0,0.0,0.452120840549469,0.0,0.409775048494339,0.10831046104431152,0.0
26,오산대,0.0,0.10638957470655441,0.0,0.8468555808067322,0.0,0.03665713593363762,0.0,0.3108927309513092,0.08111540228128433,0.0,0.35884109139442444,0.2423885017633438
27,오산,0.0,0.12324737757444382,0.0,0.8475556969642639,0.0,0.0,0.0,0.0,0.0,0.2851997911930084,0.47272440791130066,0.22016964852809906
28,진위,0.0,0.13235124945640564,0.0,0.6096173524856567,0.0,0.2361244559288025,0.0,0.21413607895374298,0.0,0.12769059836864471,0.6362348794937134,0.0
29,송탄,0.0,0.2208525389432907,0.0,0.7706270813941956,0.0,0.0,0.0,0.23536273837089539,0.0,0.37962454557418823,0.1331324428319931,0.2476041615009308
30,서정리,0.0,0.0886385589838028,0.0,0.899569571018219,0.0,0.0,0.0,0.22793260216712952,0.0,0.35667353868484497,0.17398907244205475,0.23551549017429352
31,평택지제,0.020875751972198486,0.23240229487419128,0.020967360585927963,0.6836869716644287,0.021134518086910248,0.020933113992214203,0.02089873142540455,0.681946337223053,0.02091214992105961,0.23441146314144135,0.020921900868415833,0.02090940624475479
32,평택,0.0,0.08014269173145294,0.0,0.89884352684021,0.0,0.0,0.0,0.230963796377182,0.0,0.25430843234062195,0.49894779920578003,0.0
33,성환,0.02102767676115036,0.02084611915051937,0.02088211663067341,0.895481526851654,0.020902451127767563,0.020860126242041588,0.02100984938442707,0.021186860278248787,0.02126402221620083,0.6573102474212646,0.02112436480820179,0.2581046521663666
34,직산,0.0,0.11509466916322708,0.0,0.8494811654090881,0.0,0.0,0.0,0.41325950622558594,0.0,0.21948182582855225,0.16689454019069672,0.18271806836128235
