,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,Pelham Bay Park station,0.0,0.06732293218374252,0.0,0.9304373860359192,0.0,0.0,0.0,0.16075675189495087,0.0,0.27725258469581604,0.2684754431247711,0.29240328073501587
1,Buhre Avenue station,0.0,0.07774609327316284,0.0,0.9082630276679993,0.0,0.0,0.0,0.5372635126113892,0.06470155715942383,0.21292836964130402,0.07457619905471802,0.10703369230031967
2,Middletown Road station,0.0,0.23838871717453003,0.0,0.7448290586471558,0.0,0.0,0.0,0.4618533253669739,0.0,0.26869091391563416,0.25685328245162964,0.0
3,Westchester Square­East Tremont Avenue station,0.0,0.1271122246980667,0.0,0.8628503680229187,0.0,0.0,0.0,0.40088537335395813,0.0,0.25901639461517334,0.25153878331184387,0.08353635668754578
4,Zerega Avenue station,0.0,0.0,0.0,0.915593147277832,0.0,0.05941343680024147,0.0,0.22208228707313538,0.13562636077404022,0.537911593914032,0.09185183793306351,0.0
5,Castle Hill Avenue station,0.0,0.0,0.0,0.9574615359306335,0.0,0.03235739469528198,0.0,0.0,0.0,0.39005789160728455,0.374907523393631,0.22738014161586761
6,Parkchester station,0.0,0.0,0.0,0.9692776799201965,0.0,0.02091633342206478,0.0,0.24027399718761444,0.0,0.27860119938850403,0.2934756278991699,0.18555444478988647
7,St. Lawrence Avenue station,0.0,0.07126567512750626,0.0,0.8248812556266785,0.0,0.08809070289134979,0.0,0.1362641155719757,0.0,0.37446868419647217,0.42375534772872925,0.055027399212121964
8,Morrison Avenue­Soundview station,0.0,0.0692182183265686,0.0,0.920744001865387,0.0,0.0,0.0,0.19631461799144745,0.0,0.22783958911895752,0.3420056402683258,0.22881412506103516
9,Elder Avenue station,0.0,0.0,0.0,0.8240016102790833,0.0,0.1606268435716629,0.0,0.2594371438026428,0.0,0.0,0.1921585351228714,0.5369439125061035
10,Whitlock Avenue station,0.05140053853392601,0.04648243263363838,0.0,0.8944621086120605,0.0,0.0,0.0,0.19646313786506653,0.0,0.2944483757019043,0.24163876473903656,0.26236534118652344
11,Hunts Point Avenue station,0.05210880562663078,0.07722090929746628,0.0,0.8680925965309143,0.0,0.0,0.0,0.2673906683921814,0.0,0.18987247347831726,0.18298929929733276,0.3580334186553955
12,Longwood Avenue station,0.0,0.07508821040391922,0.0,0.7294648289680481,0.1828281581401825,0.0,0.0,0.32042425870895386,0.0,0.4077766239643097,0.037119001150131226,0.22625665366649628
13,East 149th Street,0.0,0.12766192853450775,0.0,0.8349405527114868,0.0,0.0,0.0,0.2725777328014374,0.0,0.08443812280893326,0.2737383544445038,0.3506092131137848
14,E 143 St-St Mary's St station,0.0,0.0,0.0,0.9506582617759705,0.0,0.0,0.0,0.0,0.0,0.0,0.5777879953384399,0.38256698846817017
