,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,TJ16,미즈호다이,0.0,0,1,"36,410",0,0,0,0,0,0,1,2,44,6,0
1,TJ15,야나세가와,1.3,0,1,"17,314",2:00,0,0,0,0,0,1,1,11,5,0
2,TJ14,시키,2.8,0,1,"90,290",2:00,0,0,0,0,0,0,1,31,7,0
3,TJ13,아사카다이,4.2,1,1,"143,856",2:00,1,0,1,0,0,0,2,44,9,0
4,TJ12,아사카,6.6,0,1,61638,3:00,0,0,0,0,0,0,2,41,14,1
5,F-01,와코시,8.1,1,1,"152,949",2:00,2,1,1,0,0,1,2,42,7,1
6,F-02,치카테츠나리마스,10.3,0,0,"44,314",3:00,1,1,0,0,0,1,1,46,7,2
7,F-03,지카테쓰 아카쓰카,11.7,0,0,"36,536",2:00,1,1,0,0,0,1,0,45,9,1
8,F-04,헤이와다이,13.5,0,0,"38,769",3:00,1,1,0,0,0,1,0,18,5,0
9,F-05,히카와다이,14.9,0,0,34762,2:00,1,1,0,0,0,0,0,28,4,1
10,F-06,코타케무카이하라,16.4,1,0,170000,2:00,2,1,1,0,0,0,0,3,2,0
11,F-07,센카와,17.4,0,0,"34,918",2:00,1,1,0,0,0,1,0,36,8,0
12,F-08,카나메쵸,18.5,0,0,"36,047",2:00,1,1,0,0,0,1,0,33,7,1
13,F-09,이케부쿠로,19.4,1,0,"461,392",2:00,9,2,7,1,0,1,0,57,1,7
14,F-10,조시가야,21.2,0,0,"17,807",3:00,1,0,1,0,0,1,0,26,3,0
15,F-11,니시와세다,22.7,0,0,"32,955",3:00,0,0,0,0,0,1,0,5,4,0
16,F-12,히가시신주쿠,23.6,0,0,"35,204",2:00,1,1,0,0,0,0,0,39,1,0
17,F-13,신주쿠산초메,24.7,1,0,"129,191",2:00,2,2,0,0,0,1,0,60,6,14
18,F-14,키타산도,26.1,0,0,"20,737",3:00,0,0,0,0,0,1,0,16,6,3
19,F-15,메이지진구마에〈하라주쿠〉,27.3,1,0,"86,222",2:00,2,1,1,0,0,1,1,37,2,3
20,F-16,시부야,28.3,1,0,"384,781",2:00,9,2,7,1,1,1,2,59,3,6
