,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,133,서울역,0.0,1,1,"94,331",00:00,5,2,3,1,1,0,0,5,1,1
1,134,남영,1.7,0,1,"17,120",03:00,0,0,0,0,0,0,0,24,1,1
2,135,용산,3.2,0,1,"72,352",02:30,2,2,0,1,0,0,0,60,3,6
3,136,노량진,5.8,0,1,"15,961",03:30,1,0,1,0,0,0,2,34,4,0
4,137,대방,7.3,0,1,"21,483",02:30,1,0,1,0,0,0,0,24,1,0
5,138,신길,8.1,0,1,"14,917",01:30,1,0,1,0,0,0,1,3,0,1
6,139,영등포,9.1,1,1,"77,045",02:30,1,0,1,1,0,0,0,60,3,5
7,140,신도림,10.6,0,1,"289,677",02:30,1,0,1,0,0,0,0,14,5,0
8,141,구로,11.7,0,1,"33,164",02:00,1,1,0,0,0,0,0,24,1,0
9,P142,가산디지털단지,14.1,0,1,"119,927",05:00,1,0,1,0,0,0,6,45,0,4
10,P143,독산,16.1,0,1,"31,369",02:30,0,0,0,0,0,0,2,38,1,2
11,P144,금천구청,17.3,1,1,"20,915",02:00,1,1,0,0,0,0,0,3,0,0
12,P145,석수,19.6,0,1,"16,300",03:00,0,0,0,0,0,0,4,2,0,0
13,P146,관악,21.5,0,1,"13,297",02:30,0,0,0,0,0,0,2,23,2,0
14,P147,안양,23.9,1,1,"43,609",03:00,1,1,0,1,0,0,0,0,0,0
15,P148,명학,26.1,0,1,"16,014",03:00,0,0,0,0,0,0,4,40,0,0
16,P149,금정,27.5,0,1,"49,038",02:30,1,1,0,0,0,0,1,44,3,1
17,P150,군포,29.7,1,1,"12,858",03:00,0,0,0,0,0,0,0,32,1,0
18,P151,당정,31.3,0,1,"11,239",02:00,0,0,0,0,0,0,2,15,0,0
19,P152,의왕,33.9,1,1,"15,985",03:30,0,0,0,0,0,0,1,2,0,1
20,P153,성균관대,36.8,1,1,"26,618",03:30,0,0,0,0,0,0,0,10,2,0
21,P154,화서,39.4,0,1,"14,469",03:30,0,0,0,0,0,0,2,5,0,0
22,P155,수원,41.5,1,1,"73,570",03:00,1,1,0,1,0,0,0,0,1,0
23,P156,세류,44.4,0,1,"5,630",05:30,0,0,0,0,0,0,2,12,0,0
24,P157,병점,48.7,1,1,"28,341",04:00,1,0,1,0,0,0,2,46,2,2
25,P158,세마,51.1,0,1,"5,205",03:30,0,0,0,0,0,0,0,3,0,0
26,P159,오산대,53.8,0,1,"6,715",03:00,0,0,0,0,0,0,0,8,2,0
27,P160,오산,56.5,1,1,"19,352",03:30,1,1,0,1,0,0,1,16,1,0
28,P161,진위,60.5,0,1,"2,975",03:30,0,0,0,0,0,0,1,1,0,0
29,P162,송탄,64.3,0,1,"8,743",04:00,0,0,0,0,0,0,1,30,0,0
30,P163,서정리,66.5,1,1,"14,085",03:00,1,1,0,1,0,0,1,38,2,0
31,P164,평택지제,71.3,0,1,"7,265",04:30,1,0,1,1,0,0,0,7,0,0
32,P165,평택,75.0,1,1,"25,295",04:30,1,1,0,1,0,0,0,47,1,5
33,P166,성환,84.4,1,1,"8,601",07:30,1,1,0,1,0,0,0,8,0,1
34,P167,직산,89.8,0,1,"1,603",04:30,0,0,0,0,0,0,0,0,0,0
35,P168,두정,93.6,1,1,"13,069",04:30,0,0,0,0,0,0,0,10,0,2
36,P169,천안,96.6,1,1,"12,685",04:30,1,1,0,1,0,0,0,4,0,0
