,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,HK01,오사카우메다,-2.4,1,1,402947,0:00,8,1,7,1,1,1,1,60,4,7
1,HK03,쥬소,0.0,1,1,"57,979",3:00,2,2,0,0,0,0,0,47,5,2
2,HK61,미나미카타,1.9,1,1,"30,280",3:00,1,0,1,0,0,0,0,47,2,3
3,HK62,소젠지,3.2,0,1,"5,263",2:00,0,0,0,0,0,0,0,6,3,0
4,HK63,아와지,4.2,1,1,"35,332",2:00,2,1,1,0,0,0,0,45,10,4
5,HK64,카미신죠,6.3,1,1,"40,351",3:00,0,0,0,0,0,0,0,29,3,0
6,HK65,아이카와,7.2,0,1,"14,745",1:00,0,0,0,0,0,0,0,11,2,0
7,HK66,쇼자쿠,9.4,0,1,"13,670",3:00,0,0,0,0,0,0,0,3,1,1
8,HK67,셋쓰시,10.9,0,1,"10,140",2:00,0,0,0,0,0,0,1,1,2,0
9,HK68,미나미이바라키,12.9,1,1,"34,856",3:00,1,0,1,0,0,0,1,29,5,4
10,HK69,이바라키시,14.8,1,1,"49,009",3:00,0,0,0,0,0,0,2,44,9,7
11,HK70,소지지,16.2,0,1,"11,529",8:00,0,0,0,0,0,0,0,38,6,0
12,HK71,돈다,17.3,0,1,"14,592",2:00,0,0,0,0,0,0,1,21,4,1
13,HK72,타카쓰키시,20.6,1,1,"50,262",3:00,0,0,0,0,0,0,2,1,0,0
14,HK73,칸마키,24.9,0,1,"8,116",10:00,0,0,0,0,0,1,0,2,0,0
15,HK74,미나세,25.7,0,1,"8,568",2:00,0,0,0,0,0,0,1,47,9,1
16,HK75,오야마자키,27.7,0,1,"5,069",2:00,0,0,0,0,0,0,0,7,2,0
17,HK76,니시야마텐노잔,30.2,0,1,"11,294",3:00,0,0,0,0,0,0,0,2,1,0
18,HK77,나가오카텐진,31.7,1,1,"20,332",2:00,0,0,0,0,0,0,0,11,1,0
19,HK78,니시무코,33.6,0,1,"8,838",8:00,0,0,0,0,0,0,0,7,2,0
20,HK79,히가시무코,35.0,0,1,"10,739",3:00,0,0,0,0,0,0,1,25,2,0
21,HK80,라쿠사이구치,36.3,0,1,"10,989",2:00,0,0,0,0,0,0,1,16,3,2
22,HK81,카츠라,38.0,1,1,"35,998",2:00,1,1,0,0,0,0,3,33,7,2
23,HK82,니시쿄고쿠,40.1,1,0,"14,598",3:00,0,0,0,0,0,0,0,16,4,1
24,HK83,사이인,41.9,1,0,"33,247",3:00,1,0,1,0,0,0,1,46,16,5
25,HK84,오미야,43.3,1,0,"20,147",2:00,1,0,1,0,0,0,0,57,4,7
26,HK85,카라스마,44.4,1,0,"66,086",2:00,1,0,1,0,0,1,1,48,8,7
27,HK86,교토카와라마치,45.3,1,0,"58,113",2:00,1,0,1,0,0,1,0,60,2,17
