,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,A-07,센가쿠지 station,-1.2,1,0,"120,072",0:00,3,2,1,0,0,1,0,27,7,0
1,KK01,시나가와 station,0,1,1,"168,324",2:00,7,0,7,1,0,0,1,45,0,2
2,KK02,키타시나가와 station,0.7,0,1,"7,093",1:00,0,0,0,0,0,0,1,45,0,2
3,KK03,신반바 station,1.4,0,1,"11,931",1:00,0,0,0,0,0,0,1,8,2,1
4,KK04,아오모노요코초 station,2.2,1,1,"29,212",2:00,0,0,0,0,0,0,0,29,3,2
5,KK05,사메즈 station,2.7,0,1,"8,471",2:00,0,0,0,0,0,1,0,36,3,0
6,KK06,타치아이가와 station,3.5,1,1,"14,608",2:00,0,0,0,0,0,0,0,0,0,0
7,KK07,오모리카이간 station,4.8,0,1,"11,015",2:00,0,0,0,0,0,0,1,28,1,0
8,KK08,헤이와지마 station,5.7,1,1,"36,392",2:00,0,0,0,0,0,0,1,39,4,0
9,KK09,오모리마치 역,6.5,0,1,"16,935",1:00,0,0,0,0,0,0,0,41,4,3
10,KK10,우메야시키 역,7.2,0,1,"12,616",1:00,0,0,0,0,0,0,0,42,8,1
11,KK11,게이큐카마타 역,8,1,1,"44,191",2:00,1,1,0,0,1,0,1,42,7,3
12,KK18,조시키 역,9.4,0,1,"24,401",3:00,0,0,0,0,0,0,0,46,4,1
13,KK19,로쿠고도테 역,10.6,0,1,"12,877",2:00,0,0,0,0,0,0,0,18,4,0
14,KK20,케이큐카와사키 역,11.8,1,1,"97,300",1:00,4,1,3,0,0,0,1,52,10,3
15,KK27,핫쵸나와테 역,13.1,0,1,"12,756",3:00,1,0,1,0,0,0,0,60,1,11
16,KK28,츠루미이치바 역,13.8,0,1,"16,342",1:00,0,0,0,0,0,0,0,0,0,0
17,KK29,게이큐츠루미 역,15.3,1,1,"25,692",2:00,2,2,0,0,0,0,0,45,10,5
18,KK30,카게츠소지지 역,16.1,0,1,"5,523",2:00,0,0,0,0,0,0,0,38,6,0
19,KK31,나마무기 역,16.9,0,1,"22,450",2:00,0,0,0,0,0,0,0,34,4,0
20,KK32,케이큐신코야스 역,18.3,0,1,"6,472",4:00,1,1,0,0,0,0,0,20,3,0
21,KK33,코야스 역,19.3,0,1,"6,188",1:00,0,0,0,0,0,0,0,18,0,0
22,KK34,가나가와신마치 역,20,1,1,"15,573",4:00,0,0,0,0,0,0,0,7,2,0
23,KK35,케이큐히가시카나가와 역,20.5,1,1,"18,022",1:00,2,2,0,0,0,0,1,48,5,2
24,KK36,가나가와 역,21.5,0,1,"3,713",2:00,0,0,0,0,0,0,0,6,6,0
25,KK37,요코하마 역,22.2,1,1,223343,1:00,9,0,9,1,1,0,1,59,3,4
