,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,701,Flushing­Main Street,0.0,1,0,48134,0:00,3,0,3,1,1,0,0,48,8,18
1,702,Mets­Willets Point,1.4,1,1,5548,5:00,2,0,2,1,1,0,2,0,0,0
2,703,111 St,2.3,0,1,10512,3:00,1,0,1,0,1,0,0,24,3,1
3,704,103rd Street­Corona Plaza,2.9,0,1,17533,2:00,0,0,0,0,0,0,0,47,9,5
4,705,Junction Boulevard,3.5,0,1,18858,1:00,1,0,1,0,1,0,0,44,8,4
5,706,90th Street­Elmhurst Avenue,4.1,0,1,14446,1:00,0,0,0,0,0,0,0,37,20,4
6,707,82nd Street­Jackson Heights,4.7,0,1,13408,1:00,0,0,0,0,0,0,1,48,8,12
7,708,74th Street­Broadway,5.4,0,1,46789,1:00,6,3,3,0,1,0,3,44,7,4
8,709,69th Street,5.8,0,1,4286,2:00,1,0,1,0,1,0,1,27,4,0
9,710,61st Street­Woodside,6.3,1,1,14645,2:00,3,0,3,1,1,0,0,42,0,2
10,711,52nd Street,7.2,0,1,5226,2:00,0,0,0,0,0,0,0,20,3,1
11,712,46th Street­Bliss Street,7.8,0,1,11011,1:00,0,0,0,0,0,0,0,45,3,2
12,713,40th Street­Lowery Street,8.2,0,1,8423,1:00,0,0,0,0,0,0,0,35,1,0
13,714,33rd Street­Rawson Street,8.9,0,1,7965,1:00,0,0,0,0,0,0,0,16,1,0
14,715,Queensboro Plaza,9.8,1,1,13749,2:00,2,2,0,0,0,1,0,31,3,0
15,716,Court Square,10.6,1,1,19270,2:00,3,3,0,0,0,0,0,28,2,5
16,717,Hunters Point Avenue,11.3,1,1,5167,2:00,1,0,1,1,0,0,0,8,0,0
17,718,Vernon Boulevard­Jackson Avenue,11.7,1,0,12666,1:00,1,0,1,1,0,0,0,35,7,3
18,719,Grand Central­42nd Street,14.0,1,0,125331,4:00,6,4,2,1,0,1,1,50,6,2
19,720,Fifth Avenue,14.7,1,0,47161,2:00,4,4,0,0,0,1,0,6,2,0
20,721,Times Square­42nd Street,15.2,1,0,225299,1:00,13,11,2,0,0,1,0,28,6,2
21,722,34th Street­Hudson Yards,16.9,1,0,16735,4:00,1,0,1,0,0,1,0,10,5,1
