,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,S01,Shinjuku station,0,1,0,"302,124",0:00,10,1,9,1,1,1,1,59,5,5
1,S02,Shinjuku-sanchome station,0.8,0,0,"73,148",2:00,1,0,1,0,0,1,0,60,6,18
2,S03,Akebonobashi station,2.3,0,0,"38,039",2:00,0,0,0,0,0,0,0,44,7,3
3,S04,Ichigaya station,3.7,1,0,"98,926",3:00,3,0,3,0,0,0,0,44,7,3
4,S05,Kudanshita station,5,0,0,"111,410",2:00,2,0,2,0,0,0,0,44,9,2
5,S06,Jimbocho station,5.6,1,0,"134,890",1:00,2,1,1,0,0,0,0,43,18,6
6,S07,Ogawamachi station,6.5,0,0,"72,113",2:00,2,0,2,0,0,1,0,47,3,1
7,S08,Iwamotocho station,7.3,0,0,"53,741",2:00,5,0,5,0,0,1,1,29,4,2
8,S09,Bakuro-yokoyama station,8.1,1,0,"115,517",2:00,2,0,2,0,1,0,0,49,2,11
9,S10,Hamacho station,8.7,0,0,"22,335",1:00,0,0,0,0,0,1,0,34,2,2
10,S11,Morishita station,9.5,1,0,"77,157",2:00,1,1,0,0,0,1,0,34,2,2
11,S12,Kikukawa station,10.3,0,0,"25,620",2:00,0,0,0,0,0,1,0,34,2,2
12,S13,Sumiyoshi station,11.2,0,0,"44,268",1:00,1,0,1,0,0,0,0,34,2,2
13,S14,Nishi-ojima station,12.2,0,0,"28,711",2:00,0,0,0,0,0,1,0,37,13,2
14,S15,Ojima station,12.9,1,0,"33,113",2:00,0,0,0,0,0,1,0,37,13,2
15,S16,Higashi-ojima station,14.1,0,1,"32,646",2:00,0,0,0,0,0,0,0,0,0,0
16,S17,Funabori station,15.8,1,1,"63,212",3:00,0,0,0,0,0,0,0,34,6,0
17,S18,Ichinoe station,17.5,0,0,"43,548",2:00,0,0,0,0,0,1,0,7,1,1
18,S19,Mizue station,19.2,0,0,"56,546",3:00,0,0,0,0,0,1,0,7,1,1
19,S20,Shinozaki station,20.7,0,0,"39,858",2:00,0,0,0,0,0,1,0,7,1,1
20,S21,Moto-Yawata station,23.5,1,0,"77,907",4:00,2,0,2,0,0,1,2,50,12,7
