,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,DT01,시부야역,0,1,0,552163,0:00,9,1,8,1,1,1,2,59,3,6
1,DT02,이케지리오하시역,1.9,0,0,56812,2:00,0,0,0,0,0,0,0,46,4,0
2,DT03,산겐자야역,3.3,1,0,124990,2:00,1,1,0,0,0,0,0,47,21,2
3,DT04,코마자와다이가쿠역,4.8,0,0,67494,3:00,0,0,0,0,0,1,0,46,9,0
4,DT05,사쿠라신마치역,6.3,0,0,61954,3:00,0,0,0,0,0,0,0,47,6,0
5,DT06,요가역,7.6,0,0,60422,2:00,0,0,0,0,0,0,1,46,14,0
6,DT07,후타코타마가와역,9.4,1,1,85176,3:00,1,1,0,0,0,0,0,60,6,5
7,DT08,후타코신치역,10.1,0,1,19168,2:00,0,0,0,0,0,0,0,44,5,0
8,DT09,다카쓰역,10.7,0,1,26470,2:00,0,0,0,0,0,0,0,43,9,1
9,DT10,미조노쿠치역,11.4,1,1,134736,1:00,2,1,1,0,0,0,2,43,3,2
10,DT11,카지가야역,12.2,0,1,34334,2:00,0,0,0,0,0,0,0,23,7,1
11,DT12,미야자키다이역,13.7,0,1,44470,2:00,0,0,0,0,0,0,1,27,18,2
12,DT13,미야마에다이라역,14.7,0,1,43267,1:00,0,0,0,0,0,0,1,34,10,1
13,DT14,사기누마역,15.7,1,1,56498,2:00,0,0,0,0,0,0,1,15,4,1
14,DT15,타마 플라자역,17.1,1,1,73901,2:00,0,0,0,0,0,0,2,46,4,2
15,DT16,아자미노역,18.2,1,1,112644,2:00,1,0,1,0,0,0,1,45,14,0
16,DT17,에다역,19.3,0,1,30177,2:00,0,0,0,0,0,0,1,21,5,0
17,DT18,이치가오역,20.6,0,1,36996,2:00,0,0,0,0,0,0,1,34,8,1
18,DT19,아치가오역,22.1,0,1,24581,2:00,0,0,0,0,0,0,1,49,14,1
19,DT20,후지가오카역,23.1,1,1,91922,1:00,0,0,0,0,0,0,1,40,3,4
20,DT21,아오바다이역,24.5,0,1,8838,2:00,0,0,0,0,0,0,1,6,3,0
21,DT22,다나역,25.6,1,1,111474,3:00,2,1,1,0,0,0,0,24,6,1
22,DT23,나가츠타역,26.8,0,1,10260,1:00,0,0,0,0,0,0,1,17,2,2
23,DT24,쓰쿠시노역,28,0,1,9855,2:00,0,0,0,0,0,0,0,5,3,0
24,DT25,스즈카케다이역,29.2,1,1,42591,2:00,0,0,0,0,0,0,2,26,11,0
25,DT26,미나미마치다그랑베리파크역,30.3,0,1,10088,2:00,0,0,0,0,0,0,0,1,1,0
26,DT27,츠키미노역,31.5,1,0,93412,3:00,1,0,1,0,0,1,1,44,19,2
