,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,TY01,시부야역,0,1,0,384781,0:00,9,1,8,1,1,0,2,59,3,6
1,TY02,다이칸야마역,1.5,0,1,26201,2:00,0,0,0,0,0,0,0,50,4,6
2,TY03,나카메구로역,2.2,1,1,155782,2:00,1,0,1,0,0,0,1,52,6,3
3,TY04,유텐지역,3.2,0,1,27927,2:00,0,0,0,0,0,0,1,45,14,1
4,TY05,가쿠게이다이가쿠역,4.2,1,1,67776,1:00,0,0,0,0,0,1,0,55,17,4
5,TY06,토리츠다이가쿠역,5.6,0,1,44353,2:00,0,0,0,0,0,0,0,47,23,1
6,TY07,지유가오카역,7,1,1,78634,2:00,1,1,0,1,0,0,1,60,17,7
7,TY08,덴엔쵸후역,8.2,1,0,18507,2:00,1,1,0,0,0,0,0,0,2,0
8,TY09,타마가와역,9,1,1,11539,2:00,2,2,0,0,0,0,0,16,2,0
9,TY10,신마루코역,10.3,0,1,18532,2:00,1,1,0,0,0,0,0,43,6,2
10,TY11,무사시코스기역,10.8,1,1,140551,1:00,6,1,5,1,1,0,2,51,12,2
11,TY12,모토스미요시역,12.1,0,1,39053,2:00,1,1,0,0,0,0,0,46,6,0
12,TY13,히요시역,13.6,1,0,126948,2:00,3,2,1,0,0,0,1,51,13,3
13,TY14,츠나시마역,15.8,1,1,87731,3:00,0,0,0,0,0,0,0,45,12,1
14,TY15,오쿠라야마역,17.5,0,1,47872,2:00,0,0,0,0,0,0,0,16,2,1
15,TY16,키쿠나역,18.8,1,1,111040,2:00,1,0,1,0,0,0,0,44,10,1
16,TY17,묘렌지역,20.2,0,1,23638,2:00,0,0,0,0,0,2,0,46,7,1
17,TY18,하쿠라쿠역,21.4,0,1,36184,2:00,0,0,0,0,0,0,0,50,5,0
18,TY19,히가시하쿠라쿠역,22.1,0,1,14345,1:00,0,0,0,0,0,0,0,32,2,0
19,TY20,탄마치역,23.3,0,0,12909,2:00,0,0,0,0,0,1,0,4,8,0
20,TY21,요코하마역,24.2,1,0,308749,2:00,9,0,9,1,1,1,1,59,3,3
