,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,T-01,나카노역,0,1,1,"81,258",0:00,2,0,2,0,0,1,1,44,8,2
1,T-02,오치아이역,2,1,0,"23,076",3:00,0,0,0,0,0,1,0,19,1,2
2,T-03,타카다노바바역,3.9,1,0,"154,328",2:30,2,0,2,0,0,0,1,46,20,5
3,T-04,와세다역,5.6,1,0,"70,006",2:30,0,0,0,0,0,0,0,43,7,3
4,T-05,카구라자카역,6.8,1,0,"36,048",2:00,0,0,0,0,0,0,0,54,2,5
5,T-06,이다바시역,8,1,0,"138,426",2:00,4,2,2,0,0,0,1,42,1,2
6,T-07,쿠단시타역,8.7,1,0,"141,275",1:00,2,1,1,0,0,0,0,44,9,2
7,T-08,다케바시역,9.7,1,0,"37,274",1:30,0,0,0,0,0,0,1,12,1,0
8,T-09,오테마치역,10.7,1,0,"277,497",1:30,13,3,10,1,1,1,2,34,1,1
9,T-10,니혼바시역,11.5,1,0,"146,916",1:00,2,1,1,0,0,1,1,45,3,2
10,T-11,카야바쵸역,12,1,0,"94,538",1:00,1,1,0,0,0,1,0,45,5,1
11,T-12,몬젠나카쵸역,13.8,1,0,"92,275",2:00,1,0,1,0,0,0,1,44,4,2
12,T-13,키바역,14.9,1,0,"64,776",1:30,0,0,0,0,0,1,0,37,5,1
13,T-14,토요쵸역,15.8,1,0,"102,996",1:30,0,0,0,0,0,0,1,24,3,1
14,T-15,미나미스나마치역,17,0,0,"54,476",1:30,0,0,0,0,0,1,0,11,2,0
15,T-16,니시카사이역,19.7,0,1,"88,528",2:30,0,0,0,0,0,0,0,48,22,2
16,T-17,카사이역,20.9,0,1,"89,311",1:30,0,0,0,0,0,0,1,44,17,3
17,T-18,우라야스역,22.8,1,1,"71,398",2:00,0,0,0,0,0,0,1,45,14,5
18,T-19,미나미교토쿠역,24,0,1,"46,441",1:30,0,0,0,0,0,0,1,42,13,5
19,T-20,교토쿠역,25.5,0,1,"49,562",1:30,0,0,0,0,0,0,1,45,8,5
20,T-21,묘덴역,26.8,0,1,"45,243",1:30,0,0,0,0,0,0,0,25,5,2
21,T-22,바라키나카야마역,28.9,0,1,"24,911",2:30,0,0,0,0,0,0,0,32,4,1
22,T-23,니시후나바시역,30.8,1,1,"145,674",2:00,3,0,3,0,0,0,1,40,11,4
