,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,Sengakuji,0.0,0.08099555969238281,0.0,0.8964511156082153,0.0,0.019384587183594704,0.0,0.0,0.0,0.321119099855423,0.0,0.6746607422828674
1,Mita,0.0,0.048531536012887955,0.0,0.460767537355423,0.4874766170978546,0.0,0.0,0.0,0.0,0.2582288980484009,0.29480209946632385,0.4376083314418793
2,Daimon,0.0,0.010368808172643185,0.0,0.9813967943191528,0.0,0.0,0.0,0.3488386273384094,0.0,0.23107805848121643,0.28711065649986267,0.1313055008649826
3,Shimbashi,0.0,0.13127575814723969,0.0,0.8482248187065125,0.0,0.01959308795630932,0.0,0.2912191152572632,0.0,0.16635610163211823,0.24365833401679993,0.2981608808040619
4,Higashi-ginza,0.0,0.043335191905498505,0.0,0.9423157572746277,0.0,0.012184182181954384,0.0,0.47144466638565063,0.0,0.16145291924476624,0.29763662815093994,0.06802503019571304
5,Takaracho,0.0,0.06595579534769058,0.0,0.7906333208084106,0.0,0.1356363594532013,0.0,0.3116792142391205,0.0,0.05842963606119156,0.2296425700187683,0.39506712555885315
6,Nihombashi,0.0,0.055265869945287704,0.0,0.6480737328529358,0.0,0.2952621877193451,0.0,0.4585873484611511,0.0,0.1555229127407074,0.19353462755680084,0.19142475724220276
7,Ningyocho,0.0,0.02034677192568779,0.0,0.8669490218162537,0.0,0.11002017557621002,0.0,0.3320530354976654,0.0,0.23798026144504547,0.28724193572998047,0.14093603193759918
8,Higashi-nihombashi,0.0,0.0,0.0,0.6953404545783997,0.1267959475517273,0.17207062244415283,0.0,0.16762976348400116,0.0,0.23284420371055603,0.3377649784088135,0.2578788101673126
9,Asakusabashi,0.0,0.05264937877655029,0.0,0.9042451977729797,0.033169813454151154,0.0,0.0,0.3432990610599518,0.0,0.18410566449165344,0.30540692806243896,0.1659039855003357
10,Kuramae,0.0,0.041759658604860306,0.0,0.9235299229621887,0.0,0.03223166614770889,0.0,0.24629952013492584,0.0,0.14384515583515167,0.49825185537338257,0.10995723307132721
11,Asakusa,0.0,0.016370654106140137,0.0,0.9483762383460999,0.0,0.031763315200805664,0.0,0.3408242464065552,0.0,0.3707338273525238,0.22406546771526337,0.062060270458459854
12,Honjo-azumabashi,0.0,0.0,0.0,0.8207144737243652,0.08883637934923172,0.08255782723426819,0.0,0.0,0.0,0.0,0.515724778175354,0.47376641631126404
13,Oshiage,0.0,0.06449981033802032,0.0,0.8581732511520386,0.0,0.07625570893287659,0.0,0.17879608273506165,0.0,0.11500905454158783,0.5913611054420471,0.11412016302347183
