,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,Flushing­Main Street,0.0,0.05879788473248482,0.0,0.9393820762634277,0.0,0.0,0.0,0.13224709033966064,0.0,0.29495081305503845,0.21882252395153046,0.3530752658843994
1,Mets­Willets Point,0.0,0.0,0.0,0.9891040921211243,0.0,0.0,0.0,0.4834595322608948,0.0,0.2571392059326172,0.21403369307518005,0.04100555181503296
2,111 St,0.0,0.0,0.0,0.9729344844818115,0.0,0.0,0.0,0.1670929342508316,0.0,0.4442663788795471,0.24395404756069183,0.1338759958744049
3,103rd Street­Corona Plaza,0.0,0.03129049390554428,0.0,0.8984109163284302,0.0514899305999279,0.01650695875287056,0.0,0.3754654824733734,0.0,0.16174571216106415,0.23867978155612946,0.22180628776550293
4,Junction Boulevard,0.0,0.05798324942588806,0.0,0.8883699178695679,0.0,0.04905758425593376,0.0,0.328835129737854,0.0,0.20140787959098816,0.2528032064437866,0.21390299499034882
5,90th Street­Elmhurst Avenue,0.0,0.0,0.0,0.8986221551895142,0.0,0.09452663362026215,0.0,0.2397938370704651,0.0,0.14629429578781128,0.4281432330608368,0.18234390020370483
6,82nd Street­Jackson Heights,0.0,0.02588898316025734,0.0,0.8873015642166138,0.0,0.08108233660459518,0.0,0.25749894976615906,0.0,0.3968725800514221,0.33988410234451294,0.0
7,74th Street­Broadway,0.0,0.0,0.0,0.9579797387123108,0.0,0.0,0.0,0.1813482791185379,0.0,0.688420832157135,0.10498420894145966,0.0
8,69th Street,0.0,0.05278027430176735,0.0,0.8092946410179138,0.0,0.12113797664642334,0.0,0.13416557013988495,0.0,0.2390376627445221,0.2642187178134918,0.35138049721717834
9,61st Street­Woodside,0.0,0.05537615716457367,0.0,0.937487006187439,0.0,0.0,0.0,0.23599427938461304,0.0,0.30831068754196167,0.086309053003788,0.3658002018928528
10,52nd Street,0.0,0.08478545397520065,0.0,0.7943999767303467,0.0455639474093914,0.07158666849136353,0.0,0.28051847219467163,0.0,0.11798476427793503,0.3336526155471802,0.26418837904930115
11,46th Street­Bliss Street,0.0,0.0,0.0,0.8941475749015808,0.0,0.09593059867620468,0.0,0.17667199671268463,0.0,0.17430859804153442,0.45464837551116943,0.1894315630197525
12,40th Street­Lowery Street,0.0,0.09815491735935211,0.0,0.8936416506767273,0.0,0.0,0.0,0.45955830812454224,0.0,0.14004187285900116,0.1968039721250534,0.19949238002300262
13,33rd Street­Rawson Street,0.0,0.17895933985710144,0.0,0.7940875291824341,0.0,0.019519925117492676,0.0,0.1673240214586258,0.0,0.17484760284423828,0.22875338792800903,0.42414480447769165
14,Queensboro Plaza,0.0,0.056643418967723846,0.0,0.9151712656021118,0.0,0.02679136022925377,0.0,0.3920183777809143,0.0,0.12496739625930786,0.31815287470817566,0.16393645107746124
15,Court Square,0.04174526408314705,0.041773755103349686,0.04193462058901787,0.7903696894645691,0.042127542197704315,0.042049143463373184,0.04211843013763428,0.04276227578520775,0.04173634201288223,0.04240334406495094,0.35252246260643005,0.47845712304115295
16,Hunters Point Avenue,0.08407368510961533,0.20017845928668976,0.0,0.7073116898536682,0.0,0.0,0.0,0.46550503373146057,0.0,0.0879921242594719,0.18187367916107178,0.2589997947216034
17,Vernon Boulevard­Jackson Avenue,0.0,0.06824284791946411,0.0,0.8498992323875427,0.0,0.07747029513120651,0.0,0.39873847365379333,0.0,0.1901773363351822,0.18742945790290833,0.22073300182819366
18,Grand Central­42nd Street,0.0,0.047560449689626694,0.0,0.8829678297042847,0.0,0.06871595233678818,0.0,0.3457285761833191,0.0,0.27524352073669434,0.1659090220928192,0.212616965174675
19,Fifth Avenue,0.0,0.0,0.0,0.8663017749786377,0.12025127559900284,0.0,0.0,0.30582934617996216,0.0,0.3810734152793884,0.1288958638906479,0.17747698724269867
20,Times Square­42nd Street,0.0,0.022939538583159447,0.0,0.8279874324798584,0.07633256167173386,0.07239371538162231,0.0,0.3802366256713867,0.0,0.19573773443698883,0.28793787956237793,0.13574135303497314
21,34th Street­Hudson Yards,0.0,0.05409124493598938,0.0,0.8765193223953247,0.0,0.06835447996854782,0.0,0.3704935610294342,0.0,0.3257507383823395,0.1854894608259201,0.11757764965295792
