,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,Shinjuku station,0.0,0.063914954662323,0.0,0.9024681448936462,0.0,0.03303856775164604,0.0,0.20073199272155762,0.0,0.2654225528240204,0.34950360655784607,0.18395523726940155
1,Shinjuku-sanchome station,0.0,0.06522787362337112,0.0,0.9239749908447266,0.0,0.0,0.0,0.16866379976272583,0.0,0.21100716292858124,0.27322685718536377,0.3461606204509735
2,Akebonobashi station,0.0,0.1903059035539627,0.0,0.8029059171676636,0.0,0.0,0.0,0.30751338601112366,0.0,0.07440508157014847,0.24772250652313232,0.3669573962688446
3,Ichigaya station,0.0,0.08324401080608368,0.0152836749330163,0.8891174793243408,0.0,0.01157725416123867,0.0,0.2718454897403717,0.0,0.20291325449943542,0.29443249106407166,0.23003005981445312
4,Kudanshita station,0.0,0.05816365405917168,0.0,0.9061037302017212,0.0,0.034528620541095734,0.0,0.19784706830978394,0.0,0.19729375839233398,0.2955400049686432,0.30851760506629944
5,Jimbocho station,0.0,0.09740182012319565,0.0,0.8772027492523193,0.0,0.02405376359820366,0.0,0.2188459038734436,0.0,0.14359402656555176,0.38444921374320984,0.2522182762622833
6,Ogawamachi station,0.0,0.0832405611872673,0.0,0.863028347492218,0.0,0.04840682074427605,0.0,0.3497089743614197,0.0,0.1901947259902954,0.21404419839382172,0.2425011694431305
7,Iwamotocho station,0.0,0.19392694532871246,0.0,0.7603225111961365,0.02037663757801056,0.023626798763871193,0.0,0.20668911933898926,0.0,0.17031773924827576,0.17419326305389404,0.4470566213130951
8,Bakuro-yokoyama station,0.0,0.027199460193514824,0.0,0.9383201003074646,0.0,0.032434482127428055,0.0,0.27539584040641785,0.0,0.21231910586357117,0.3494068384170532,0.16151729226112366
9,Hamacho station,0.0,0.0,0.07058850675821304,0.9137648940086365,0.0,0.0,0.0,0.5266590118408203,0.0,0.0,0.45765674114227295,0.0
10,Morishita station,0.0,0.09098777920007706,0.0,0.7646774649620056,0.14052434265613556,0.0,0.0,0.17086651921272278,0.0,0.21798697113990784,0.27115073800086975,0.3374854326248169
11,Kikukawa station,0.015298145823180676,0.015374655835330486,0.01531130075454712,0.9235016107559204,0.015293066389858723,0.015221183188259602,0.01523787621408701,0.24690395593643188,0.015226398594677448,0.4723164141178131,0.015276577323675156,0.23503881692886353
12,Sumiyoshi station,0.0,0.09473399817943573,0.0,0.901031494140625,0.0,0.0,0.0,0.22999966144561768,0.0,0.12920600175857544,0.3200610280036926,0.31862518191337585
13,Nishi-ojima station,0.0440223328769207,0.0,0.0,0.8879660367965698,0.0,0.0511942058801651,0.0,0.2812160551548004,0.0,0.0,0.6963640451431274,0.0
14,Ojima station,0.08222684264183044,0.0,0.0,0.8397144675254822,0.07410039752721786,0.0,0.0,0.3785155117511749,0.0,0.2801769971847534,0.18635506927967072,0.1523599922657013
15,Higashi-ojima station,0.06654507666826248,0.05826767906546593,0.14659027755260468,0.6869298219680786,0.0,0.04053971543908119,0.0,0.400604248046875,0.0,0.21105654537677765,0.21654869616031647,0.16954201459884644
16,Funabori station,0.028040966019034386,0.0730796754360199,0.0,0.8260713219642639,0.041703470051288605,0.029874540865421295,0.0,0.26669880747795105,0.0,0.17259077727794647,0.2907210886478424,0.26755574345588684
17,Ichinoe station,0.04080372303724289,0.0,0.0,0.9544777870178223,0.0,0.0,0.0,0.17346099019050598,0.0,0.28094398975372314,0.2423984408378601,0.3008350431919098
18,Mizue station,0.0,0.0,0.06843305379152298,0.9186083078384399,0.0,0.0,0.0,0.3028266131877899,0.0,0.19180984795093536,0.2583909332752228,0.24051284790039062
19,Shinozaki station,0.025331193581223488,0.01585104875266552,0.0,0.9418372511863708,0.0,0.015048786997795105,0.01613190770149231,0.1673809289932251,0.0,0.3071848154067993,0.2483343482017517,0.26000604033470154
20,Moto-Yawata station,0.020770052447915077,0.04453938081860542,0.0,0.8942205309867859,0.0,0.039366744458675385,0.0,0.3003879189491272,0.0,0.2936229109764099,0.22380021214485168,0.18109038472175598
