,Unnamed: 0,statnNm,rating,review,review_count
0,0,Pelham Bay Park station,4.2,"The last station of Uptown 6.There is an overpass directly connected to Pelham Bay Park.This station has an elevator, which does not work dirty and always.There is a Dunkin donut across the street and a magazine at the bottom of the train station.This train station was always dirty.The good thing is that you don't wait for a train to the city for a long time.To avoid confusion, you need to change the name of this location. \ N \ N originally tried to reduce this grade to 5 points.Already cleaning! \ N \ n This is a review of the station.Very good.However, I needed a citibike dock. \ N \ n was impressive that the emergency gate worked with a card.Good touch.I always use it when I have a bicycle. \ N \ n my review tends to be a bicycle center.I don't have a car, but I will borrow my car on vacation.If this perspective is interested in you.You may want to follow my review.There is no keyword for a bicycle or bicycle on the Google map.Why is it that?There is a nice small dog park and a great run track, so people passing by must check.Parking/Upgrade has been wider.There are more spaces to wander and control.The bus stop is more distributed to reduce congestion.But I no longer live in New York City.Still, every time I visit Bronx, I always come here!This is the best place to walk, bicycle, run or picnic.A wonderful atmosphere and a wonderful package.There are a few bums who always seem to be there.There is also a religious non -mainstream group that distributes leaflets.I have lived here for 20 years, and Pelham Bay MTA employees do nothing to improve their services or attitudes.They know they are police!Clerk (not police) does nothing, but I think I will receive a lot of salary.The vacuum cleaner is not cleaned!They came out of the government program, certainly not education, and not suitable for providing food to people on the train. \ N \No one is always dirty.It is filled with crazy homeless people who do not say that they are the last stop to get off the train.Don't pay the cost!So be careful!The seat is dirty!Unless they say dirty, they will not clean and even stand and even work as if they are your job.The deputy is always late except for some!Even on the weekend, even riding a train completely blocks it!It's the only way we arrive in the city, so it's like a terrible nightmare we need to ride.This station has a lovely subway car theme entrance.When I was there, a pigeon climbed in my car, quietly commuting Jerre as Zerega Avenue, where he politely.I like MTA./ I always had a good time from childhood to adults.It is good to bring your child or family.Near the bus and train.Some stores/parks did not exist, but nevertheless were great./I used the terminal transportation, and I transferred to various routes that are important to COOP City, New Rochelle, White Plains, City Island, Orchard Beach, Barlow Plaza Mall Shoppings, Forham, and northwest Bronxes./ QueueGood place to do.Keep it clean and the staff are very friendly.Guy wandered around with a garbage bag to the cooking person./I like this park.It's really big and always fun.Clean and wooden color is so pretty!/This park is good, but don't come at night.When I went last time, many people wore clothes, covered their bodies with black cloth, similar to KKK, but they wore black clothes, wearing pointed hats, and what they were doing.If you ask me, it's not that safe.It's not cool.There is no illustration or it looks new.But on the ground (when you go in, you can see how the neighborhood looks), and there is an Indian bridge connected to the park across the street, so you do not have to cross the busy distance below.Buses stop here.Then, it's a good station.And train No. 6 is the only train to come here .//Pelham Bay Park Train Station is the worst and clerks are good at attitudes and there is no presentation about why the train is 15 minutes later while the train comes in two minutes.Bronx's worst line/my favorite place is to run and get out of everything.Most parks are well managed.They have a nice landscape and a wonderful landscape.The park is wide, so it's good to jog.Next to the track is an ice cream truck with several tennis courts.I like this court and recommend it to everyone./I like this park!Bronx's various areas are large enough to get lost or explored, and everyone is very friendly.I hope you will peel off all the paints that cause the iron plate to peel off.The window inside the elevator is a bit dirty but the floor is clean.There is a newspaper plane outside.There is a pretty clean bathroom.I have a stained glass.The night looks good/considering how busy it is, it works surprisingly well.To be honest, most of my problems are about MTA.The biggest problem is that it is constantly terminated and there is no other reasonable option./ In a good location, all buses 50, 5, 12 or 12, 23, etc. can be moved to Uptown and downtown.Shopping is a good area CVS offers friendly employees such as fresh, cold drinks, warm or cold pastry on Dunkin donuts.The doctor's office dermatologist, Bottegas, has a really delicious and inexpensive bacon cheese and eggs.It is well stored.There is one problem.vampire.Once I saw a friend biting an old lady.It's really terrible!Except for night vampires, it is a good station to ride the train./ Clean the terminal.There are elevators, escalators (not always work) and stairs.There are several metrocard machines and a wonderful two-layer crossing the I-95 to Pelham Bay Park.(6) The train offers a pretty good service.It usually takes about 55 minutes to 125th Street through the city.It's okay enough.There are elevators and escalators, but they don't always work.There is a restaurant and CVS nearby. \ N This station is located across from Pelham Bay Park (there is an overpass connected to the park, so you have young children and it is inconvenient to cross the street.There are many buses that pass this train station, including express buses and direct buses departing from West Chester. \ N \I will take you. CO-OP City, Bay Plaza (Bus: BX12 SBS), Orchard Beach (BX12-Summer Month Only).There are also roads ./""dunkin donuts runs a local bus to Burger King, Bay Plaza Shopping Mall every day.It is a great park that can explore various parts of the various parts. There are five shops, including nearby stores. "", It is very convenient and does not wait for the train too long. There is no train in the track (usually exists) yesterdayI dropped the scarf and a woman found it and brought it upstairs. Thank you, I miss you.I went out to track me (the only contact in my wallet). Thank you very much!/It's always fun to come to this park.Train Station/Bronx is as beautiful as always!/I had to pay the bus fee as a coin. I had a transfer.It's a great place to go, take a break, enjoy the scenery, and get peace of mind./It's a great place to spend a day with your family and friends.This is a very good place.I have a plan to move the area/I lived in Manhattan's drainage.One dayThe night went to the station and there was a Seven -Eleven nearby./ I like it because this train helps me to work faster.It's autumn.Everything from Z to P.KAHTA DYNASTAO/You can see the highway 95 at the end of the high price.Walk./ Do I like the park ????…/Very good/large, suitable for outdoor inventions/I will go to the park and connect it with the bus./ I don't hate it/??/Very kind and helpful employees./ Quiet and good place/very cool/very quiet/very quiet/comfort/I played on the Pelham Bay Warriors soccer team./ Very good place/this station is always expected/We had a good time/Beautiful landscape/Okay/Good place/Good station/great service/help/????…/Cool/good/bathroom/amazing !!!",164
1,1,Buhre Avenue station,4.2,"The train service here is fine.The tile decoration of the wall looks beautiful./This station is really beautiful, clean and safe.There is a mosaic that can be seen on the wall, you can listen to the songs of the birds under the track, and the sun rises above the north direction. \ N \The train was giving noisy on the express track.One of the best stations in the MTA system is now a terrible place to wait for the train.(There is a space where the MTA can run the next train to Pelham Bay Park between Buhre and Middletown.The airport will teach you when the plane arrives, it will be 9 o'clock. It will teach you how to make a sound. Canada will continue to worry about 2 pounds., The family doesn't seem to be drawn. But that doesn't mean that a huge 9 o'clock must humming to serve a hungry baby on the plane. "", It's a train station ... There is a seat ...Trains that burn and drop people sometimes come here.There is a booth where you can get information or pay an entrance fee.Yes ... Oh and I'm in Bronx ... I'm in BUHRE./ It's an ordinary subway station, but it's almost always clean/I can't evaluate it because it's in the area, not the exact location.This is necessary./ Clean and easy to explore.Good works of art/station are clean and well managed ./ Very good and not good./ If a delay occurs, you must arrive on time./ It's not a friendly place.",41
2,2,Middletown Road station,4.4,"I live in two blocks, so I rarely burn the train!Because I had to pick up a car in repair, I got on the train to take a $ 1.35 senior train instead of taking a taxi!/Really clean and the train service is fine.It is also well maintained, but the train is also clean/Middletown Road is located in Bronx's Middletown-Pelham Bay section and Line 6 is always used.Middletown Road is in a very quiet neighborhood.The service is good to Pelham Bay Park, but the service is not the best for the Mannhatan train train.The station is clean and managed ./ Most trains are local trains, so it will take a long time to go to Manhattan.As I returned to Bronx, some trains were suspended in Parkchester.This is painful because I live near Middletown RD.Other than that, the train is clean and often operated./De Luxo is a very quiet place with not many people.This is one of the new reverse systems that are thought to have been rebuilt in 2015./ A good area.Clean station.The train is also clean.Safe/This is a good area, and this train stop is important in this area./ This is one of the subway stations that you can't even know if you don't get off or burn it ......Beautiful/Clean/If the outside is clean, you can use warm lamps.",36
3,3,Westchester Square­East Tremont Avenue station,3.8,"As of September 2017, it is the most ugly 6th train station in Bronx.All other expensive stations have been renovated, but this station does not seem to be.Did you lack funds?Is it because of the adjacent train?Who knows.Since there is no elevator, the station is on the ground, so some mobility is required.It is estimated to be about 60-70 steps from the first floor to the subway platform.Since construction is underway in the square, some of the stops for connecting buses have reduced the atmospheric space.After paying the fee, I added a photo of the countdown clock that can be seen before climbing the stairs on the platform..Trains come at a reasonable speed except for late time, and usually there are not many people in normal time.There are many places that connect by bus outside the station.The station is not so dirty.The average of NYC.In repair, it is in progress.There are several buses that stop around.There are many commuters during the day.There are many elementary school students because there are high schools nearby.are you okay.It's not worse than I saw/It's a good place to see more shops and restaurants than the train stop.Thank you ./ I like stained glass.really good.White castle nearby.There are many stairs and the entrance to the disabled./There is a nice park next to the subway and local shops.I have lived in this area since 1992.I can eat/I wonder why there is no escalator in this station.Wheelchair access is not possible and not clean.Small and clean ..... New York Bronx Upper.I do not have a lot of traffic to many children/I need the best stop/labbit/like/I need an elevator.",63
4,4,Zerega Avenue station,4.2,"The train time does not indicate when it comes, but only once online, but it is not displayed for time or not.There is a wonderful public works of art./zerega Ave is in the Westchester Heights Zone in eastern Bronx./ I like the works of this station and the station is always very clean/the tile murals of the platform walls are really nice.The train service is fine./I love it very much.Their travel schedule is very accurate.I like it./For me, train 6 is one of the best IRT services.(You did well)/""Good, right next to Georges, the best restaurant :)"", very beautiful and closer to where I should go.Bronx was born and grew up.Like.",37
5,5,Castle Hill Avenue station,4.2,"it's okay.It works, but the station is always dirty and not enough benches.I use it every day./ clean but only in certain areas.There are many seats and train services.Do not expect any help except for the staff to hand out an envelope to send the card by mail.Even if there is no problem with the card, you can integrate the balance of one card into another card.The planned changes are not always announced, and no appropriate signs are displayed.Express Express Trains are displayed and run to the region.Those who pay a lot of charges can rarely see the public transportation officer.This is especially true during commute time, which is full of students who have breakfast or play music.Most machines that sell metro cards are usually broken or do not receive bills.Sometimes a credit card machine doesn't work at all.Jokes/Good Station.Some areas (6) trains end their trips on Park Chester, which is a stop away from the train.Only <6> operates this station in the Russian War./ I have a lot of experience in this station because I lived on Line 6 for almost 10 years.It's okay, but I think there should be police at a certain time.Bus, Bus 4 Westchester Square, 3rd Street and 149th Street.IZ is always going to be ""official"" !!!/Clean .. Very .. It's a small construction. It's really good, especially because it's really close to the church!Outside of the station.Quiet and good/station is well managed./I was on the uptown platform of train 6.",56
6,6,Parkchester station,4.1,"This station is often used when the two stations are closed, and are used as a return line. \ N This station is used a lot when it is closed and used as a track again.Employees must have a minimum of attention:/One day in the New York Passter ... Parkchester is originally developed by Metropolitan Life Insurance Company and is a planned community located in the southeastern New York City.This neighborhood is part of the Bronx community.The boundaries start from the north to the north, East Tremont Avenue to the north, Castle Hill Avenue to the east, and to the south of 177th Street [5] -WESTCHESTER Avenue (Westchester Avenue is the east border of Metropolitan Avenue).To the west is the White Plains Road.Metropolitan Avenue is a major road that passes through Parkchester.The 6th and <6> train of the New York City Subway runs along the Westchester Avenue./Parkchester is a great place to live, eat, work, travel, and shop.In Bronx, you can find a mix of high-budget places and cheap places like Step-In Bar/DINNER ???/They always have a good machine for subway cards, but they usually or most of the bills, coins or ridiculous accurate coins.They skipped the station last moment.It will be extended to another period in one period and extended longer.In fact, I didn't notice it. \ N \ n On the other hand, the so -called alternative path is a 4 bus that does not come to the same frequency. \ N \ n is late for the interview.I'm late for work.Where is my shuttle bus?As an indigenous New Yorker in this area since the train used tokens, this is unacceptable!I refused to pay again ./ The subway is good, but it's often dirty, so I prefer the subway in Queens or Manhattan./Yes/Last!When the police attend, everyone pays the fee.No one passes through the door or goes beyond the rotation door.I did well nypd./ Awesome experience.The lovely atmosphere ./metrocard machine does not work in most time when cash does not receive cash.The station is not very dirty and there is a shop in the station.There is nothing to complain about employees and it's okay.You can get a good view from the platform in the Parkchester area.The station is relatively crowded and the station tends to experience the service change.It is a good and convenient station./ I like this station!You can get the fifth star by installing the elevator at the Hunts Point Avenue and East 180th Street Station.In this area, there are mothers who work with strollers as well as the elderly and the disabled.Keep in mind this .../As you grow up in that area, you learn how to accept good and bad things together.Residential and commercial spaces are properly mixed.There are many restaurants, but there is not enough parking space ??If the train is express, it is very good and very easy.Go to the other side and return to the destination.It is very wide and relatively clean compared to the subway.The station's presence is very constant and very convenient./I really like this station.It smells good and feels good every time I go there.There are many places where you can shop, such as Macy, Marshall, and New York.There are many places to eat, such as Boston Market, Apple Bee, Poppies, Burger King, etc.I used to do Fuki here in the 70's.I sprayed water on ketchup.Feedback: Add about 3 trains in the morning commute time.The time was the same and there was no improvement for the last two to three years, and there was no express from 10 am to 11:59 am, but at that time, the service was provided and the entire bed was provided../ It is under construction./ Peaceful and quiet.At least not with people who live with you.There is no gun sound and there is no violence/<6> There are six regional trains at this station during the commute time where the trains and Pelham Bay Park.It is also on the 95th weekly highway.Express trains stop here, and six trains end here.Do not interfere with the exit so that many people do not push you sideways./Excellent/I have never been there, but I heard that it is a bad area.But the station is fine.Did you come?There are various shops.They keep Parkchester quite clean.And the area is good.A good view .../Parkchester is better than other train stations, so more work should be done in terms of repair and appearance ...I need it./Beautiful landscape of Bronx!/Very good station during the construction.You can use thermal lamps from outside ./ Compliance with a good and safe village/good service ADA and helps the disabled.It's very unfortunate to do it./Good neighborhood/especially because of express trains, it is a really good stop./itz is an official space with Good Store and Good Peepz!Dressbarns ... "", Qinggon.The place/platform is so small that there aren't many spaces that can stand.It's a good station./ They are solving the problem/recently remodeled and generally clean.It's a good place/Good area/Good/Very beautiful/Grand entrance/Good station!This is Bronx./ Laugh/BX ... Heaven !!!",178
7,7,St. Lawrence Avenue station,3.9,"St. Lawrence Avenue is the area of IRT Pelham Line, New York City, located at the intersection of St. Lawrence Avenue and Westchester Avenue.There are always six trains: Bronx 6/Just Bronx Train Station (Line 6)/Wheelchain or train stations that are not available to people with disabilities.I didn't know how to set it up, and I went to them and set it for me.When I asked how much I owed them, they said, ""There is no charge !!""/Cleaning can use an automatic vending machine.There is a small treasure chest that looks like a trash.ㅋㅋㅋ I really like it/boom boom boom/I'm right near my apartment.Small Bronx Station.It's pretty clean ...../Good neighborhood!/Eh ~ Outdoor platform !!/It's clean with a great train service.../ I love food there/If it smells like shit/Good improved station/simple, clean and neat./ Arrive at the scheduled time !!!/near my house.",52
8,8,Morrison Avenue­Soundview station,4.2,"Morrison Avenue SoundView Station is a very crowded station.To get to the Bronx city or uptown, you can easily move to Manhattan and other areas by train 6.There are many shops around the station, including the Bank of America ATM and financial institutions.There is a park near the station.Fruits, vegetable shops, etc. \ n \ n Public library Classon Library is closer to the train station about 2 minutes away from the station of 1215 Morrison Avenue.It's as dirty as all trains.The last and first cars are always sleeping and the smell is terrible.There are men who smoke in the afternoon.To get off these people, security must be strengthened.We are very high, bad, and most of all, because we pay a lot of money for dirty service !!!!But there is no choice except using it.??…In some parts of the platform, it smells like urine, but at least six operate.However, whenever we see the R142A (6) train passing by looking at the window.Oh, I remember this memory 10/10/It's okay.Always look around!/The food was so delicious that it was really delicious ????…/This is my home station.i like it.I spend the most time in this subway station in Bronx than any other station.And Manhattan's Union Square/This subway station is usually clean and well managed.The art of the platform wall is attractive./ Careful night time.A little cleaning may be needed/Bronx is much cleaner than most of the stations.We are operating 1,100 trains: close to the park and the express train stops here.Great train stops!Pizza is great.It's a safe place.",73
9,9,Elder Avenue station,4.2,"I'm surprised and wants to travel again/I just pass to find an apartment or room.God, I hope I will find one.It is for your own space!/Always proceed with any type of construction.Half of the month will go to the hunting point to find 2 and 5.In general, there is a terrible delay during the holiday or a terrible delay.I have been on this train for over 20 years.I want to evaluate better, but it's not good at all.At least clean.PC .. Clothing store .. shoe shop .. Furniture shop .. Laundry .. Tattoo shop .. Bakery .. Boost Mobile .. Beauty Salon .. Beauty Sales .. Delhi Food Store .. Dentist ..Hardware .. Everything you need ../ Today came here on August 15, 2017.""It's okay but slow.""But the whole MTA """" ""is always so.Late, slow/clean and good station.Everything here is Morrison SoundView./It is very convenient to use the bus and subway!I'm looking for a school uniform exchange, but I don't post my working hours!/Very good/outside.I need an automatic vending machine/train station/Blessing of new days ..... teacup/Good place/Cella/Service is not good/Elder Avenue Subway/Good .../315 E 112th Street New YorkSeniors are the best!/exorbitant",72
