,statnNm,pos0,pos1,pos2,pos3,neg0,neg1,neg2,neg3
0,Sengakuji,0.36730608344078064,0.137535959482193,0.0,0.49215397238731384,0.40278327465057373,0.14574886858463287,0.33713290095329285,0.11433499306440353
1,Mita,0.20445935428142548,0.043413951992988586,0.5126413702964783,0.23948535323143005,0.1806594580411911,0.58050537109375,0.20555436611175537,0.03328079357743263
2,Daimon,0.6169435381889343,0.01589982956647873,0.19005516171455383,0.1771014928817749,0.18398571014404297,0.24518908560276031,0.5689464211463928,0.0
3,Shimbashi,0.15802918374538422,0.13886842131614685,0.3703209459781647,0.33278143405914307,0.38952410221099854,0.10786192864179611,0.3735782206058502,0.12903569638729095
4,Higashi-ginza,0.0,0.09178556501865387,0.3382416367530823,0.5683202743530273,0.3189343810081482,0.0,0.4204946458339691,0.2588941752910614
5,Takaracho,0.24343879520893097,0.24847909808158875,0.502135694026947,0.0,0.2769702970981598,0.20187842845916748,0.30172327160835266,0.21942798793315887
6,Nihombashi,0.1436360776424408,0.04589443281292915,0.632294237613678,0.17817525565624237,0.2922499477863312,0.027802037075161934,0.2560851573944092,0.4238628149032593
7,Ningyocho,0.214654803276062,0.1564423143863678,0.4380994439125061,0.1908034086227417,0.32650452852249146,0.0,0.5624406933784485,0.10870768129825592
8,Higashi-nihombashi,0.09411001205444336,0.1588257998228073,0.6127331852912903,0.13433097302913666,0.12136950343847275,0.26674675941467285,0.43419066071510315,0.17769305408000946
9,Asakusabashi,0.07154803723096848,0.2717818319797516,0.40423494577407837,0.25243517756462097,0.161978080868721,0.18890997767448425,0.4865625202655792,0.1625494658946991
10,Kuramae,0.0,0.35414552688598633,0.2592196464538574,0.38378873467445374,0.13095511496067047,0.27311843633651733,0.4856157898902893,0.11031066626310349
11,Asakusa,0.24885597825050354,0.2177382856607437,0.32433125376701355,0.209074467420578,0.16362756490707397,0.21849969029426575,0.6148457527160645,0.0
12,Honjo-azumabashi,0.0,0.5256528258323669,0.46288636326789856,0.0,0.0,0.40529903769493103,0.527213990688324,0.061664436012506485
13,Oshiage,0.07212155312299728,0.22646094858646393,0.4777257740497589,0.2236916720867157,0.19819557666778564,0.4182715117931366,0.30688491463661194,0.07664797455072403
