,statnNm,pos0,pos1,pos2,pos3,neg0,neg1,neg2,neg3
0,Flushing­Main Street,0.2098541557788849,0.1622929722070694,0.09448778629302979,0.5333651304244995,0.29120782017707825,0.3752705454826355,0.2813177704811096,0.05220390111207962
1,Mets­Willets Point,0.4992273449897766,0.17862151563167572,0.18927118182182312,0.13287997245788574,0.13357947766780853,0.07174933701753616,0.789190948009491,0.0
2,111 St,0.4858498275279999,0.417230486869812,0.08240301162004471,0.014516633935272694,0.16202089190483093,0.3701793849468231,0.30609405040740967,0.16170567274093628
3,103rd Street­Corona Plaza,0.07855875790119171,0.15902107954025269,0.5045467615127563,0.25787341594696045,0.10120998322963715,0.2368960827589035,0.43976303935050964,0.2221308797597885
4,Junction Boulevard,0.12599875032901764,0.10072965919971466,0.6327738165855408,0.14049771428108215,0.1358683854341507,0.3039921224117279,0.2958860397338867,0.2642534673213959
5,90th Street­Elmhurst Avenue,0.0,0.17382283508777618,0.2661237120628357,0.5555766224861145,0.1509082317352295,0.13041912019252777,0.4348779618740082,0.28379470109939575
6,82nd Street­Jackson Heights,0.0,0.2620910108089447,0.3207148611545563,0.41212090849876404,0.19297736883163452,0.08630578219890594,0.45261865854263306,0.26809820532798767
7,74th Street­Broadway,0.018144335597753525,0.01836640201508999,0.33968719840049744,0.623802125453949,0.33201098442077637,0.14622308313846588,0.3687528967857361,0.15301306545734406
8,69th Street,0.016279898583889008,0.016023758798837662,0.5604082345962524,0.4072881042957306,0.32819536328315735,0.23736633360385895,0.016644252464175224,0.4177940785884857
9,61st Street­Woodside,0.268309623003006,0.06919410079717636,0.1923823207616806,0.47011399269104004,0.37393510341644287,0.09230627119541168,0.47574013471603394,0.05801846832036972
10,52nd Street,0.11901643127202988,0.08737928420305252,0.3508854806423187,0.4427188038825989,0.3111962080001831,0.15540876984596252,0.2653307020664215,0.26806432008743286
11,46th Street­Bliss Street,0.0,0.7518882155418396,0.06920783221721649,0.1719413697719574,0.30560624599456787,0.3747509717941284,0.3130166530609131,0.0
12,40th Street­Lowery Street,0.0,0.2734438478946686,0.38832613825798035,0.33197352290153503,0.23528356850147247,0.2812763750553131,0.16253453493118286,0.32090550661087036
13,33rd Street­Rawson Street,0.0,0.2729283273220062,0.32787197828292847,0.3927416503429413,0.4108436405658722,0.1918962001800537,0.27903175354003906,0.11822844296693802
14,Queensboro Plaza,0.16628462076187134,0.19597694277763367,0.3345409035682678,0.3031975328922272,0.15359506011009216,0.23727712035179138,0.4807630777359009,0.1283647119998932
15,Court Square,0.6091171503067017,0.1307065188884735,0.12751220166683197,0.13266415894031525,0.12505283951759338,0.126250758767128,0.6140921115875244,0.1346043050289154
16,Hunters Point Avenue,0.0,0.0,0.5992708206176758,0.38735368847846985,0.2014908343553543,0.33620551228523254,0.4555630385875702,0.0
17,Vernon Boulevard­Jackson Avenue,0.3967503011226654,0.2628048360347748,0.15685489773750305,0.18358998000621796,0.2769818603992462,0.1573062241077423,0.48348549008369446,0.08222644776105881
18,Grand Central­42nd Street,0.3834444582462311,0.15469302237033844,0.34578990936279297,0.11607266217470169,0.2408263087272644,0.1291455179452896,0.5052263140678406,0.12480190396308899
19,Fifth Avenue,0.5112032294273376,0.0,0.09112787991762161,0.3896055519580841,0.04135788977146149,0.24530257284641266,0.7055595517158508,0.0
20,Times Square­42nd Street,0.13094355165958405,0.21845866739749908,0.32209470868110657,0.3285030722618103,0.17441236972808838,0.20880617201328278,0.3573838174343109,0.2593977153301239
21,34th Street­Hudson Yards,0.2511584162712097,0.22683241963386536,0.1977168470621109,0.32429230213165283,0.160415381193161,0.21456202864646912,0.5145707726478577,0.11045185476541519
