,statnNm,pos0,pos1,pos2,pos3,neg0,neg1,neg2,neg3
0,Pelham Bay Park station,0.1731908768415451,0.26243528723716736,0.1851932853460312,0.37918055057525635,0.28465235233306885,0.33074602484703064,0.2881915867328644,0.09641004353761673
1,Buhre Avenue station,0.41881975531578064,0.34053924679756165,0.112940713763237,0.12770025432109833,0.2284681349992752,0.065121591091156,0.582310676574707,0.12409958243370056
2,Middletown Road station,0.4011771082878113,0.010127231478691101,0.13397444784641266,0.45472121238708496,0.010189058259129524,0.03761133551597595,0.8536950945854187,0.09850450605154037
3,Westchester Square­East Tremont Avenue station,0.16457319259643555,0.0,0.5788077116012573,0.24895478785037994,0.15915462374687195,0.0,0.5157091617584229,0.31731685996055603
4,Zerega Avenue station,0.5457754731178284,0.015797169879078865,0.2806510031223297,0.15777632594108582,0.1425325870513916,0.26683011651039124,0.5744479298591614,0.016189415007829666
5,Castle Hill Avenue station,0.4670983850955963,0.12433125078678131,0.2963263690471649,0.11224395036697388,0.10182937979698181,0.18646252155303955,0.5603689551353455,0.15133915841579437
6,Parkchester station,0.38005462288856506,0.10945121198892593,0.3490055501461029,0.1614886224269867,0.29919034242630005,0.1863308995962143,0.32703056931495667,0.187448188662529
7,St. Lawrence Avenue station,0.014091454446315765,0.1482340395450592,0.48826074600219727,0.34941378235816956,0.2813325822353363,0.014433028176426888,0.6883648037910461,0.0158696211874485
8,Morrison Avenue­Soundview station,0.0,0.20263253152370453,0.4797746539115906,0.30999138951301575,0.0,0.17114675045013428,0.6426507234573364,0.17841647565364838
9,Elder Avenue station,0.2277633249759674,0.0,0.5160399079322815,0.24827758967876434,0.43801677227020264,0.1754937469959259,0.25981536507606506,0.1266741305589676
10,Whitlock Avenue station,0.5018745064735413,0.17016789317131042,0.1432361900806427,0.184721440076828,0.19669196009635925,0.19780097901821136,0.5987680554389954,0.0
11,Hunts Point Avenue station,0.28648290038108826,0.0764896422624588,0.398386150598526,0.23864130675792694,0.2776508927345276,0.25535935163497925,0.3907594084739685,0.07623039186000824
12,Longwood Avenue station,0.354744017124176,0.010547935031354427,0.41081297397613525,0.22389502823352814,0.2653198838233948,0.01074120681732893,0.5942986011505127,0.12964028120040894
13,East 149th Street,0.4569709897041321,0.24637050926685333,0.02034367434680462,0.2763148546218872,0.24510489404201508,0.45120835304260254,0.02062593400478363,0.28306081891059875
14,E 143 St-St Mary's St station,0.02218838594853878,0.02150695212185383,0.39898738265037537,0.5573172569274902,0.29068121314048767,0.021804187446832657,0.6652979254722595,0.022216694429516792
15,Cypress Avenue station,0.02174566686153412,0.022483566775918007,0.5858017802238464,0.3699690103530884,0.25793588161468506,0.41275492310523987,0.2107488512992859,0.11856035888195038
16,Brook Avenue station,0.010152101516723633,0.010000210255384445,0.18819409608840942,0.791653573513031,0.26392650604248047,0.0,0.46728023886680603,0.2588053047657013
17,Third Avenue­138th Street station,0.06772741675376892,0.1124955490231514,0.2230103611946106,0.5967666506767273,0.2933659255504608,0.1344323456287384,0.5697441101074219,0.0
18,125th Street,0.2779889404773712,0.14879246056079865,0.3188112676143646,0.2544073760509491,0.24004048109054565,0.27924051880836487,0.39801284670829773,0.08270618319511414
19,116 Street,0.28510400652885437,0.0,0.23182226717472076,0.4799957871437073,0.5298559665679932,0.1324090212583542,0.19313687086105347,0.1445981115102768
20,110th Street station,0.13688036799430847,0.0,0.25348609685897827,0.6013883948326111,0.0,0.0,0.9739688038825989,0.0
21,103rd Street station,0.0,0.06779830157756805,0.3911774158477783,0.5339094996452332,0.34736335277557373,0.07584060728549957,0.3747876286506653,0.20200838148593903
22,96th Street,0.23085588216781616,0.08669672161340714,0.2950982451438904,0.3873491585254669,0.17534013092517853,0.3875822424888611,0.26836317777633667,0.1687144786119461
23,86th Street,0.18725955486297607,0.14793214201927185,0.26235684752464294,0.4024514853954315,0.32953953742980957,0.2280580848455429,0.24719102680683136,0.19521133601665497
24,77th Street station,0.24746637046337128,0.18507727980613708,0.14322002232074738,0.4242362976074219,0.3174530565738678,0.12077070772647858,0.4637019634246826,0.09807419776916504
25,68th Street­Hunter College station,0.01049389224499464,0.17965728044509888,0.1988726556301117,0.6109760999679565,0.2294694036245346,0.0,0.5486788749694824,0.21784478425979614
26,59th Street station,0.12431248277425766,0.21731658279895782,0.19600267708301544,0.4623682200908661,0.2567754089832306,0.14085175096988678,0.36522191762924194,0.2371508777141571
27,51st Street station,0.11055707931518555,0.36073052883148193,0.31360408663749695,0.21510830521583557,0.22034168243408203,0.19088158011436462,0.40871065855026245,0.1800660789012909
28,Grand Central­42nd Street station,0.21671563386917114,0.3440137505531311,0.2700265645980835,0.16924409568309784,0.30880165100097656,0.1534528136253357,0.47145339846611023,0.06629215180873871
29,33rd Street station,0.27582958340644836,0.1373375654220581,0.24548521637916565,0.3413476347923279,0.31064534187316895,0.12456029653549194,0.4623042941093445,0.10249005258083344
30,28th Street,0.1823212206363678,0.11781967431306839,0.2505951225757599,0.44926396012306213,0.2645469605922699,0.15820732712745667,0.3302445709705353,0.24700112640857697
31,23rd Street,0.17236363887786865,0.3520067036151886,0.40523508191108704,0.07039456814527512,0.23359030485153198,0.2354775220155716,0.4910701513290405,0.039862047880887985
32,14th Street­Union Square station,0.15237613022327423,0.20804347097873688,0.32006973028182983,0.31951069831848145,0.2580080032348633,0.17699941992759705,0.5300493240356445,0.034943271428346634
33,14th Street­Union Square,0.7791643142700195,0.011118235997855663,0.011648646555840969,0.19806882739067078,0.3407290577888489,0.20381677150726318,0.19450770318508148,0.26094645261764526
34,Astor Place station,0.1579289585351944,0.14723694324493408,0.40343210101127625,0.2914019525051117,0.26451656222343445,0.21943014860153198,0.40903139114379883,0.10702190548181534
35,Bleecker Street station,0.19764865934848785,0.08034497499465942,0.41189277172088623,0.3101135790348053,0.2993105351924896,0.18045790493488312,0.4360488951206207,0.08418261259794235
36,Spring Street station,0.01328932773321867,0.09321098774671555,0.4283613860607147,0.46513834595680237,0.013633535243570805,0.48912742733955383,0.4838058352470398,0.013433212414383888
37,Canal Street station,0.020061954855918884,0.3882516920566559,0.22401660680770874,0.3676697611808777,0.1945505291223526,0.43163779377937317,0.17342554032802582,0.20038612186908722
