,statnNm,pos0,pos1,pos2,pos3,neg0,neg1,neg2,neg3
0,Shinjuku station,0.054984498769044876,0.34370237588882446,0.3200039565563202,0.28130921721458435,0.2831204831600189,0.11835430562496185,0.4123459756374359,0.18617920577526093
1,Shinjuku-sanchome station,0.15326501429080963,0.17341861128807068,0.4243294298648834,0.24898697435855865,0.3523945212364197,0.18554016947746277,0.2911229133605957,0.17094239592552185
2,Akebonobashi station,0.04803719371557236,0.14386968314647675,0.5261049866676331,0.28198811411857605,0.3664309084415436,0.12860874831676483,0.5002179741859436,0.0
3,Ichigaya station,0.025346631184220314,0.15807810425758362,0.3926280438899994,0.4239472448825836,0.20494069159030914,0.12990111112594604,0.38056308031082153,0.2845950722694397
4,Kudanshita station,0.0,0.16222168505191803,0.3671884834766388,0.4696408808231354,0.19183626770973206,0.15768979489803314,0.3561432957649231,0.2943306565284729
5,Jimbocho station,0.07074369490146637,0.09344764798879623,0.39377257227897644,0.44203606247901917,0.3445946276187897,0.15191106498241425,0.28169867396354675,0.22179564833641052
6,Ogawamachi station,0.08105064183473587,0.10821298509836197,0.3401723802089691,0.47056397795677185,0.2698846757411957,0.10947968065738678,0.3271256685256958,0.29350996017456055
7,Iwamotocho station,0.6102288365364075,0.0,0.18378010392189026,0.20403048396110535,0.4058201313018799,0.07690118998289108,0.4407499432563782,0.07652875036001205
8,Bakuro-yokoyama station,0.09123218059539795,0.0848640501499176,0.36176300048828125,0.4621407687664032,0.17534813284873962,0.16181695461273193,0.532954752445221,0.1298801302909851
9,Hamacho station,0.0,0.0,0.35318195819854736,0.6299639344215393,0.18980318307876587,0.5339938998222351,0.26709407567977905,0.0
10,Morishita station,0.0944521576166153,0.09414259344339371,0.4720465838909149,0.33935871720314026,0.33914679288864136,0.10406632721424103,0.38097596168518066,0.17581088840961456
11,Kikukawa station,0.03241747245192528,0.7441124320030212,0.1913391351699829,0.03213093429803848,0.15256808698177338,0.2968459725379944,0.032589513808488846,0.5179964303970337
12,Sumiyoshi station,0.1035672277212143,0.10782705247402191,0.404824823141098,0.38378089666366577,0.11702684313058853,0.28327348828315735,0.2678542733192444,0.3318454325199127
13,Nishi-ojima station,0.444173127412796,0.1777145266532898,0.014361896552145481,0.3637504279613495,0.1819586157798767,0.35849693417549133,0.3236177861690521,0.13592669367790222
14,Ojima station,0.08706747740507126,0.0,0.4916721284389496,0.4182788133621216,0.3466966450214386,0.09233345836400986,0.3811385929584503,0.17983132600784302
15,Higashi-ojima station,0.014608469791710377,0.16208487749099731,0.2437022477388382,0.5796043872833252,0.3116312623023987,0.16940800845623016,0.47352805733680725,0.045432668179273605
16,Funabori station,0.2626040577888489,0.11554699391126633,0.3440795838832855,0.2777693569660187,0.2596034109592438,0.10097645223140717,0.539315402507782,0.10010474175214767
17,Ichinoe station,0.08696895837783813,0.1722637265920639,0.23968777060508728,0.5010795593261719,0.3352998197078705,0.054614193737506866,0.5247563123703003,0.08532962203025818
18,Mizue station,0.0,0.2609100341796875,0.39632806181907654,0.3347078263759613,0.4442044794559479,0.1825421154499054,0.3008858859539032,0.07236747443675995
19,Shinozaki station,0.1910487860441208,0.0,0.3246789872646332,0.48207858204841614,0.349700003862381,0.15085574984550476,0.425214558839798,0.07422968000173569
20,Moto-Yawata station,0.11459118127822876,0.1313784122467041,0.38283365964889526,0.3711967468261719,0.19703678786754608,0.14273028075695038,0.4373481571674347,0.22288477420806885
