,statnNm,pos0,pos1,pos2,pos3,pos4,neg0,neg1,neg2,neg3,neg4
0,Sengakuji,0.4232107400894165,0.05187172815203667,0.17616628110408783,0.0,0.34643107652664185,0.4232107400894165,0.05187172815203667,0.17616628110408783,0.0,0.34643107652664185
1,Mita,0.18212538957595825,0.3597378134727478,0.10266414284706116,0.0,0.35347017645835876,0.18212538957595825,0.3597378134727478,0.10266414284706116,0.0,0.35347017645835876
2,Daimon,0.13070566952228546,0.13491035997867584,0.519467294216156,0.0,0.21345746517181396,0.13070566952228546,0.13491035997867584,0.519467294216156,0.0,0.21345746517181396
3,Shimbashi,0.15525992214679718,0.10683806240558624,0.49410489201545715,0.06533551216125488,0.17846161127090454,0.15525992214679718,0.10683806240558624,0.49410489201545715,0.06533551216125488,0.17846161127090454
4,Higashi-ginza,0.0,0.0,0.6658211946487427,0.16975970566272736,0.16188105940818787,0.0,0.0,0.6658211946487427,0.16975970566272736,0.16188105940818787
5,Takaracho,0.0,0.2571011185646057,0.4653581380844116,0.20224334299564362,0.07079598307609558,0.0,0.2571011185646057,0.4653581380844116,0.20224334299564362,0.07079598307609558
6,Nihombashi,0.10683626681566238,0.10166684538125992,0.2633567452430725,0.3545069992542267,0.1736331284046173,0.10683626681566238,0.10166684538125992,0.2633567452430725,0.3545069992542267,0.1736331284046173
7,Ningyocho,0.2172277271747589,0.0,0.5143402814865112,0.05857256054878235,0.2080761194229126,0.2172277271747589,0.0,0.5143402814865112,0.05857256054878235,0.2080761194229126
8,Higashi-nihombashi,0.20110052824020386,0.24391961097717285,0.23010824620723724,0.1415320485830307,0.18333958089351654,0.20110052824020386,0.24391961097717285,0.23010824620723724,0.1415320485830307,0.18333958089351654
9,Asakusabashi,0.15003877878189087,0.16098304092884064,0.3888460397720337,0.11979977786540985,0.18033234775066376,0.15003877878189087,0.16098304092884064,0.3888460397720337,0.11979977786540985,0.18033234775066376
10,Kuramae,0.14099858701229095,0.22579142451286316,0.34390005469322205,0.1136636957526207,0.17564624547958374,0.14099858701229095,0.22579142451286316,0.34390005469322205,0.1136636957526207,0.17564624547958374
11,Asakusa,0.0,0.2431824803352356,0.6325752139091492,0.0,0.11962700635194778,0.0,0.2431824803352356,0.6325752139091492,0.0,0.11962700635194778
12,Honjo-azumabashi,0.14181315898895264,0.26977548003196716,0.5795865058898926,0.0,0.0,0.14181315898895264,0.26977548003196716,0.5795865058898926,0.0,0.0
13,Oshiage,0.24483154714107513,0.33279961347579956,0.37252962589263916,0.020437244325876236,0.029401937499642372,0.24483154714107513,0.33279961347579956,0.37252962589263916,0.020437244325876236,0.029401937499642372
