,statnNm,pos0,pos1,pos2,pos3,pos4,neg0,neg1,neg2,neg3,neg4
0,Flushing­Main Street,0.229506716132164,0.2772946357727051,0.13851645588874817,0.04159092903137207,0.31309130787849426,0.229506716132164,0.2772946357727051,0.13851645588874817,0.04159092903137207,0.31309130787849426
1,Mets­Willets Point,0.1666388064622879,0.16122737526893616,0.602333128452301,0.06573335081338882,0.0,0.1666388064622879,0.16122737526893616,0.602333128452301,0.06573335081338882,0.0
2,111 St,0.39408087730407715,0.3501383364200592,0.010841533541679382,0.12035146355628967,0.12458774447441101,0.39408087730407715,0.3501383364200592,0.010841533541679382,0.12035146355628967,0.12458774447441101
3,103rd Street­Corona Plaza,0.10441749542951584,0.23286940157413483,0.18575556576251984,0.17752468585968018,0.29943281412124634,0.10441749542951584,0.23286940157413483,0.18575556576251984,0.17752468585968018,0.29943281412124634
4,Junction Boulevard,0.08125153183937073,0.2593345642089844,0.0780314952135086,0.20265008509159088,0.3787323236465454,0.08125153183937073,0.2593345642089844,0.0780314952135086,0.20265008509159088,0.3787323236465454
5,90th Street­Elmhurst Avenue,0.2874838709831238,0.12123436480760574,0.28511500358581543,0.1271427869796753,0.17902396619319916,0.2874838709831238,0.12123436480760574,0.28511500358581543,0.1271427869796753,0.17902396619319916
6,82nd Street­Jackson Heights,0.17837917804718018,0.08988142013549805,0.38311201333999634,0.1806199848651886,0.16800743341445923,0.17837917804718018,0.08988142013549805,0.38311201333999634,0.1806199848651886,0.16800743341445923
7,74th Street­Broadway,0.01361827552318573,0.013943318277597427,0.2242080122232437,0.20025727152824402,0.5479731559753418,0.01361827552318573,0.013943318277597427,0.2242080122232437,0.20025727152824402,0.5479731559753418
8,69th Street,0.33734914660453796,0.28550469875335693,0.012117341160774231,0.35274866223335266,0.012280140072107315,0.33734914660453796,0.28550469875335693,0.012117341160774231,0.35274866223335266,0.012280140072107315
9,61st Street­Woodside,0.292575865983963,0.11765418201684952,0.42174869775772095,0.0,0.16494590044021606,0.292575865983963,0.11765418201684952,0.42174869775772095,0.0,0.16494590044021606
10,52nd Street,0.20948414504528046,0.16514649987220764,0.12526868283748627,0.22330954670906067,0.27679115533828735,0.20948414504528046,0.16514649987220764,0.12526868283748627,0.22330954670906067,0.27679115533828735
11,46th Street­Bliss Street,0.431179940700531,0.25046172738075256,0.20594578981399536,0.0,0.10728035867214203,0.431179940700531,0.25046172738075256,0.20594578981399536,0.0,0.10728035867214203
12,40th Street­Lowery Street,0.20644137263298035,0.13940122723579407,0.19799479842185974,0.25435569882392883,0.20180688798427582,0.20644137263298035,0.13940122723579407,0.19799479842185974,0.25435569882392883,0.20180688798427582
13,33rd Street­Rawson Street,0.19676288962364197,0.19950847327709198,0.3210010826587677,0.07483561336994171,0.20789191126823425,0.19676288962364197,0.19950847327709198,0.3210010826587677,0.07483561336994171,0.20789191126823425
14,Queensboro Plaza,0.15856537222862244,0.1841910183429718,0.3581759035587311,0.07581973820924759,0.2232479453086853,0.15856537222862244,0.1841910183429718,0.3581759035587311,0.07581973820924759,0.2232479453086853
15,Court Square,0.1000099927186966,0.10001631826162338,0.5980553030967712,0.10191002488136292,0.10000834614038467,0.1000099927186966,0.10001631826162338,0.5980553030967712,0.10191002488136292,0.10000834614038467
16,Hunters Point Avenue,0.09557081013917923,0.14459282159805298,0.5824680924415588,0.0,0.1722099781036377,0.09557081013917923,0.14459282159805298,0.5824680924415588,0.0,0.1722099781036377
17,Vernon Boulevard­Jackson Avenue,0.15607833862304688,0.08420462906360626,0.5443499088287354,0.0,0.21188007295131683,0.15607833862304688,0.08420462906360626,0.5443499088287354,0.0,0.21188007295131683
18,Grand Central­42nd Street,0.21825574338436127,0.09897677600383759,0.4204815924167633,0.039269059896469116,0.2230168581008911,0.21825574338436127,0.09897677600383759,0.4204815924167633,0.039269059896469116,0.2230168581008911
19,Fifth Avenue,0.0,0.19435811042785645,0.6868866682052612,0.0,0.1066628247499466,0.0,0.19435811042785645,0.6868866682052612,0.0,0.1066628247499466
20,Times Square­42nd Street,0.20169970393180847,0.17703576385974884,0.24970132112503052,0.1668923944234848,0.20467078685760498,0.20169970393180847,0.17703576385974884,0.24970132112503052,0.1668923944234848,0.20467078685760498
21,34th Street­Hudson Yards,0.09993897378444672,0.1837884932756424,0.46829739212989807,0.07485915720462799,0.1731160283088684,0.09993897378444672,0.1837884932756424,0.46829739212989807,0.07485915720462799,0.1731160283088684
