,statnNm,pos0,pos1,pos2,pos3,pos4,neg0,neg1,neg2,neg3,neg4
0,Pelham Bay Park station,0.24490228295326233,0.21777191758155823,0.2544538080692291,0.0,0.2815406620502472,0.24490228295326233,0.21777191758155823,0.2544538080692291,0.0,0.2815406620502472
1,Buhre Avenue station,0.13541753590106964,0.06305132061243057,0.4094865918159485,0.06350613385438919,0.3285384476184845,0.13541753590106964,0.06305132061243057,0.4094865918159485,0.06350613385438919,0.3285384476184845
2,Middletown Road station,0.15058580040931702,0.0,0.8265532851219177,0.0,0.0,0.15058580040931702,0.0,0.8265532851219177,0.0,0.0
3,Westchester Square­East Tremont Avenue station,0.18908774852752686,0.03287303075194359,0.5059604048728943,0.26617687940597534,0.0,0.18908774852752686,0.03287303075194359,0.5059604048728943,0.26617687940597534,0.0
4,Zerega Avenue station,0.012198089621961117,0.16744214296340942,0.49119696021080017,0.011946331709623337,0.3172164857387543,0.012198089621961117,0.16744214296340942,0.49119696021080017,0.011946331709623337,0.3172164857387543
5,Castle Hill Avenue station,0.12629064917564392,0.20242536067962646,0.6584218144416809,0.0,0.0,0.12629064917564392,0.20242536067962646,0.6584218144416809,0.0,0.0
6,Parkchester station,0.30769631266593933,0.2267381101846695,0.2988811731338501,0.0,0.16467362642288208,0.30769631266593933,0.2267381101846695,0.2988811731338501,0.0,0.16467362642288208
7,St. Lawrence Avenue station,0.397856742143631,0.1827298402786255,0.01086900383234024,0.010905072093009949,0.39763933420181274,0.397856742143631,0.1827298402786255,0.01086900383234024,0.010905072093009949,0.39763933420181274
8,Morrison Avenue­Soundview station,0.13159501552581787,0.05308111011981964,0.5272170305252075,0.07764176279306412,0.21046505868434906,0.13159501552581787,0.05308111011981964,0.5272170305252075,0.07764176279306412,0.21046505868434906
9,Elder Avenue station,0.36199891567230225,0.31254222989082336,0.16453363001346588,0.0,0.15476785600185394,0.36199891567230225,0.31254222989082336,0.16453363001346588,0.0,0.15476785600185394
10,Whitlock Avenue station,0.11270230263471603,0.20212584733963013,0.42651960253715515,0.0,0.25337690114974976,0.11270230263471603,0.20212584733963013,0.42651960253715515,0.0,0.25337690114974976
11,Hunts Point Avenue station,0.23963357508182526,0.2507486641407013,0.159695103764534,0.06585656106472015,0.2840661108493805,0.23963357508182526,0.2507486641407013,0.159695103764534,0.06585656106472015,0.2840661108493805
12,Longwood Avenue station,0.09264153987169266,0.0,0.43151766061782837,0.11449453234672546,0.353026807308197,0.09264153987169266,0.0,0.43151766061782837,0.11449453234672546,0.353026807308197
13,East 149th Street,0.015664024278521538,0.3405173420906067,0.016183622181415558,0.30842041969299316,0.3192146122455597,0.015664024278521538,0.3405173420906067,0.016183622181415558,0.30842041969299316,0.3192146122455597
14,E 143 St-St Mary's St station,0.2936498820781708,0.0168915968388319,0.6553645133972168,0.01722702756524086,0.016866963356733322,0.2936498820781708,0.0168915968388319,0.6553645133972168,0.01722702756524086,0.016866963356733322
15,Cypress Avenue station,0.24584197998046875,0.01744622178375721,0.7028682231903076,0.016840608790516853,0.017002960667014122,0.24584197998046875,0.01744622178375721,0.7028682231903076,0.016840608790516853,0.017002960667014122
