,statnNm,pos0,pos1,pos2,pos3,pos4,neg0,neg1,neg2,neg3,neg4
0,Shinjuku station,0.1810457706451416,0.11551821976900101,0.2837640345096588,0.15419630706310272,0.26547572016716003,0.1810457706451416,0.11551821976900101,0.2837640345096588,0.15419630706310272,0.26547572016716003
1,Shinjuku-sanchome station,0.23352332413196564,0.19116483628749847,0.20486919581890106,0.1578916311264038,0.21255099773406982,0.23352332413196564,0.19116483628749847,0.20486919581890106,0.1578916311264038,0.21255099773406982
2,Akebonobashi station,0.27782654762268066,0.16884222626686096,0.32128775119781494,0.0417197085916996,0.19032374024391174,0.27782654762268066,0.16884222626686096,0.32128775119781494,0.0417197085916996,0.19032374024391174
3,Ichigaya station,0.21859358251094818,0.14823636412620544,0.2988298833370209,0.2211873084306717,0.1131528690457344,0.21859358251094818,0.14823636412620544,0.2988298833370209,0.2211873084306717,0.1131528690457344
4,Kudanshita station,0.17249174416065216,0.0804736465215683,0.31096532940864563,0.24902835488319397,0.18704098463058472,0.17249174416065216,0.0804736465215683,0.31096532940864563,0.24902835488319397,0.18704098463058472
5,Jimbocho station,0.2326570749282837,0.15011757612228394,0.28097203373908997,0.18052543699741364,0.15572787821292877,0.2326570749282837,0.15011757612228394,0.28097203373908997,0.18052543699741364,0.15572787821292877
6,Ogawamachi station,0.08474011719226837,0.13082487881183624,0.39068010449409485,0.17287828028202057,0.22087658941745758,0.08474011719226837,0.13082487881183624,0.39068010449409485,0.17287828028202057,0.22087658941745758
7,Iwamotocho station,0.07206244021654129,0.13742658495903015,0.12213226407766342,0.05509428679943085,0.6132844686508179,0.07206244021654129,0.13742658495903015,0.12213226407766342,0.05509428679943085,0.6132844686508179
8,Bakuro-yokoyama station,0.08154880255460739,0.1671472042798996,0.5736133456230164,0.03289807587862015,0.1447925716638565,0.08154880255460739,0.1671472042798996,0.5736133456230164,0.03289807587862015,0.1447925716638565
9,Hamacho station,0.18508918583393097,0.4707680642604828,0.3308851420879364,0.0,0.0,0.18508918583393097,0.4707680642604828,0.3308851420879364,0.0,0.0
10,Morishita station,0.3893290162086487,0.13121794164180756,0.29403138160705566,0.08426464349031448,0.10115697234869003,0.3893290162086487,0.13121794164180756,0.29403138160705566,0.08426464349031448,0.10115697234869003
11,Kikukawa station,0.025245677679777145,0.2849476635456085,0.025429395958781242,0.5158945918083191,0.14848272502422333,0.025245677679777145,0.2849476635456085,0.025429395958781242,0.5158945918083191,0.14848272502422333
12,Sumiyoshi station,0.134880930185318,0.20884159207344055,0.18522241711616516,0.278250515460968,0.19280456006526947,0.134880930185318,0.20884159207344055,0.18522241711616516,0.278250515460968,0.19280456006526947
13,Nishi-ojima station,0.5116586685180664,0.010900766588747501,0.24557459354400635,0.010874513536691666,0.22099146246910095,0.5116586685180664,0.010900766588747501,0.24557459354400635,0.010874513536691666,0.22099146246910095
14,Ojima station,0.22087623178958893,0.0512809194624424,0.36015328764915466,0.17226316034793854,0.19542641937732697,0.22087623178958893,0.0512809194624424,0.36015328764915466,0.17226316034793854,0.19542641937732697
15,Higashi-ojima station,0.34114089608192444,0.13086727261543274,0.3374873697757721,0.01596972718834877,0.17453475296497345,0.34114089608192444,0.13086727261543274,0.3374873697757721,0.01596972718834877,0.17453475296497345
16,Funabori station,0.2212558388710022,0.01950124092400074,0.5345476865768433,0.0,0.22240541875362396,0.2212558388710022,0.01950124092400074,0.5345476865768433,0.0,0.22240541875362396
17,Ichinoe station,0.3407840430736542,0.0,0.42991870641708374,0.04637741670012474,0.1805940717458725,0.3407840430736542,0.0,0.42991870641708374,0.04637741670012474,0.1805940717458725
18,Mizue station,0.2534172832965851,0.24643774330615997,0.21502076089382172,0.0,0.27890387177467346,0.2534172832965851,0.24643774330615997,0.21502076089382172,0.0,0.27890387177467346
19,Shinozaki station,0.29764339327812195,0.15031927824020386,0.4694792628288269,0.0,0.08088396489620209,0.29764339327812195,0.15031927824020386,0.4694792628288269,0.0,0.08088396489620209
20,Moto-Yawata station,0.2159726917743683,0.15881673991680145,0.4453001320362091,0.12942259013652802,0.05048787221312523,0.2159726917743683,0.15881673991680145,0.4453001320362091,0.12942259013652802,0.05048787221312523
