,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,Sengakuji,0.30279111862182617,0.0,0.0,0.1746160238981247,0.3435669541358948,0.17523550987243652,0.22827836871147156,0.0,0.48557811975479126,0.13070501387119293,0.15165673196315765,0.0
1,Mita,0.14586114883422852,0.0,0.5552331805229187,0.04135677590966225,0.1318964958190918,0.12401410937309265,0.08156982809305191,0.42770135402679443,0.19982919096946716,0.0289361122995615,0.2603302299976349,0.0
2,Daimon,0.2344769984483719,0.06848402321338654,0.06684724986553192,0.0,0.32376301288604736,0.30521804094314575,0.0,0.11854427307844162,0.7008516788482666,0.0,0.17634007334709167,0.0
3,Shimbashi,0.101786307990551,0.11230803281068802,0.3834591507911682,0.09725452214479446,0.22437608242034912,0.08081592619419098,0.07787475734949112,0.12409164756536484,0.4163111448287964,0.16960762441158295,0.18348339200019836,0.028631433844566345
4,Higashi-ginza,0.05349917337298393,0.04216295853257179,0.44037100672721863,0.07293087989091873,0.38999882340431213,0.0,0.0,0.041435498744249344,0.2568124234676361,0.23240256309509277,0.42765894532203674,0.040660060942173004
5,Takaracho,0.0,0.2970699667930603,0.4707314074039459,0.0,0.0,0.22118693590164185,0.02999899908900261,0.24469809234142303,0.2501363754272461,0.2267647087574005,0.21076557040214539,0.03763626515865326
6,Nihombashi,0.0429612435400486,0.0,0.6009653210639954,0.02091320790350437,0.2293672412633896,0.10506541281938553,0.05741806700825691,0.1299070119857788,0.09871019423007965,0.36745280027389526,0.2425897866487503,0.10392212122678757
7,Ningyocho,0.03649622201919556,0.19600637257099152,0.3159785568714142,0.0,0.3901713788509369,0.059895869344472885,0.17144669592380524,0.0660845935344696,0.4897758960723877,0.12871582806110382,0.14252658188343048,0.0
8,Higashi-nihombashi,0.1642678678035736,0.09069285541772842,0.5166120529174805,0.030702803283929825,0.1349310427904129,0.06279339641332626,0.17616862058639526,0.17973695695400238,0.3788343369960785,0.15701766312122345,0.03302411735057831,0.07521828263998032
9,Asakusabashi,0.0,0.24071109294891357,0.34714072942733765,0.1986730992794037,0.13017083704471588,0.08231790363788605,0.129146009683609,0.16869623959064484,0.35080090165138245,0.19612018764019012,0.11109188199043274,0.04414479807019234
10,Kuramae,0.0,0.18423445522785187,0.19239595532417297,0.0,0.374667227268219,0.24529612064361572,0.11302202194929123,0.2546209692955017,0.3398579955101013,0.0361630842089653,0.0688871219754219,0.18744878470897675
11,Asakusa,0.0,0.17178462445735931,0.39151862263679504,0.0,0.16263490915298462,0.27028122544288635,0.0,0.2526651620864868,0.55229651927948,0.03886271268129349,0.15238864719867706,0.0
12,Honjo-azumabashi,0.0,0.4236086308956146,0.328770250082016,0.0,0.23688416182994843,0.0,0.17005465924739838,0.30829840898513794,0.4484959840774536,0.06599528342485428,0.0,0.0
13,Oshiage,0.024567147716879845,0.22932444512844086,0.38234609365463257,0.04436873272061348,0.3092636168003082,0.010130013339221478,0.2856792211532593,0.34525933861732483,0.2295481264591217,0.06328216195106506,0.05644616112112999,0.019784951582551003
