,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,Flushing­Main Street,0.15967047214508057,0.13531391322612762,0.03794040158390999,0.1427730768918991,0.399066686630249,0.125235453248024,0.14362895488739014,0.2575157880783081,0.300013929605484,0.11625608056783676,0.18191345036029816,0.0
1,Mets­Willets Point,0.3455652892589569,0.10207308083772659,0.1783163845539093,0.07776741683483124,0.2538236081600189,0.04245419800281525,0.05690756440162659,0.08741477131843567,0.8457385301589966,0.0,0.0,0.0
2,111 St,0.38139569759368896,0.32245543599128723,0.0,0.0,0.2694381773471832,0.0,0.2346680909395218,0.29117903113365173,0.2598176598548889,0.19661036133766174,0.0,0.0
3,103rd Street­Corona Plaza,0.0,0.0,0.4440416693687439,0.1312386691570282,0.39300981163978577,0.02811824344098568,0.04490713030099869,0.1971767544746399,0.3612121045589447,0.2370506376028061,0.15783409774303436,0.0
4,Junction Boulevard,0.0,0.0,0.5278860926628113,0.16989544034004211,0.295189768075943,0.0,0.0,0.2090153992176056,0.23959454894065857,0.2650667130947113,0.28165775537490845,0.0
5,90th Street­Elmhurst Avenue,0.0,0.14139340817928314,0.21358826756477356,0.11546577513217926,0.37082892656326294,0.15591123700141907,0.10129623115062714,0.16674716770648956,0.28306278586387634,0.17247161269187927,0.15530161559581757,0.12112059444189072
6,82nd Street­Jackson Heights,0.0,0.0,0.4054318070411682,0.08600559830665588,0.4034838080406189,0.09891828149557114,0.0,0.1383029818534851,0.3978816866874695,0.27131885290145874,0.11570406705141068,0.07372499257326126
7,74th Street­Broadway,0.32083287835121155,0.011305412277579308,0.23567745089530945,0.01127700600773096,0.40969961881637573,0.011207664385437965,0.01114089135080576,0.011224067769944668,0.3857840895652771,0.1623813807964325,0.41830870509147644,0.011160877533257008
8,69th Street,0.0,0.0,0.6239357590675354,0.0,0.33628135919570923,0.010025443509221077,0.28286781907081604,0.231488436460495,0.0,0.2693646252155304,0.0,0.19648651778697968
9,61st Street­Woodside,0.14447900652885437,0.0,0.18974445760250092,0.0,0.4889572560787201,0.1719365119934082,0.1748199462890625,0.13392587006092072,0.46318429708480835,0.0,0.12967298924922943,0.09594573080539703
10,52nd Street,0.08422685414552689,0.0,0.21191050112247467,0.0,0.6059726476669312,0.09187030792236328,0.23127931356430054,0.19223935902118683,0.19275923073291779,0.2307949960231781,0.11180403083562851,0.04112304747104645
11,46th Street­Bliss Street,0.13229134678840637,0.5018044114112854,0.10526148229837418,0.0,0.25223231315612793,0.0,0.23589974641799927,0.464824378490448,0.0,0.08022189885377884,0.07803498208522797,0.13678918778896332
12,40th Street­Lowery Street,0.0,0.0,0.30502399802207947,0.0,0.6118748188018799,0.07136283069849014,0.12468026578426361,0.18337008357048035,0.0,0.22944927215576172,0.28769221901893616,0.17088067531585693
13,33rd Street­Rawson Street,0.0,0.0,0.24902184307575226,0.17322596907615662,0.5654200315475464,0.0,0.19659845530986786,0.21782879531383514,0.3638938069343567,0.03699757903814316,0.1805673986673355,0.0
14,Queensboro Plaza,0.07810848951339722,0.15756450593471527,0.3168114721775055,0.05103326588869095,0.2842692732810974,0.11221295595169067,0.05512487515807152,0.24243329465389252,0.28910526633262634,0.15065708756446838,0.1694420874118805,0.09323739260435104
15,Court Square,0.5799334645271301,0.08383060991764069,0.08387043327093124,0.08372277766466141,0.08420678228139877,0.08443593978881836,0.08333784341812134,0.08333723247051239,0.5824353694915771,0.08378135412931442,0.08333738148212433,0.08377078920602798
16,Hunters Point Avenue,0.0,0.0,0.4214671850204468,0.0,0.4944322109222412,0.07151604443788528,0.16864144802093506,0.33809036016464233,0.3018347918987274,0.18299445509910583,0.0,0.0
17,Vernon Boulevard­Jackson Avenue,0.29712897539138794,0.21347294747829437,0.1845044195652008,0.0,0.12344902008771896,0.17863729596138,0.061330001801252365,0.20422807335853577,0.3928166329860687,0.18718624114990234,0.12615418434143066,0.02828490175306797
18,Grand Central­42nd Street,0.1647200584411621,0.16426891088485718,0.3277648091316223,0.012894867919385433,0.10012234002351761,0.23022904992103577,0.12913742661476135,0.13037841022014618,0.34992918372154236,0.12782913446426392,0.262350469827652,0.0
19,Fifth Avenue,0.3255147933959961,0.0,0.11843519657850266,0.0,0.28579747676849365,0.26031240820884705,0.0,0.15232302248477936,0.6617047190666199,0.0,0.17110995948314667,0.0
20,Times Square­42nd Street,0.037475861608982086,0.12358549982309341,0.3057800233364105,0.14304640889167786,0.29432234168052673,0.09578981250524521,0.08884553611278534,0.18078157305717468,0.3058904707431793,0.2609231472015381,0.150209441781044,0.013349886983633041
21,34th Street­Hudson Yards,0.08780104666948318,0.16492320597171783,0.2392374724149704,0.04264488071203232,0.32092341780662537,0.14446993172168732,0.016011089086532593,0.21332649886608124,0.4454698860645294,0.13784776628017426,0.16972175240516663,0.017622966319322586
