,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,Pelham Bay Park station,0.11837613582611084,0.19139361381530762,0.13373872637748718,0.0996721088886261,0.3340575695037842,0.12276183813810349,0.13253329694271088,0.19560028612613678,0.3489547073841095,0.06747935712337494,0.25457891821861267,0.0
1,Buhre Avenue station,0.2667572498321533,0.1456439197063446,0.18671247363090515,0.0,0.3924840986728668,0.0,0.0,0.0,0.5529093742370605,0.17127832770347595,0.26317447423934937,0.0
2,Middletown Road station,0.3534282445907593,0.0,0.2692750096321106,0.0,0.3585071563720703,0.0,0.0,0.10069975256919861,0.62288498878479,0.0,0.18180327117443085,0.08214936405420303
3,Westchester Square­East Tremont Avenue station,0.0,0.0,0.5881413817405701,0.1844380795955658,0.0,0.2129722237586975,0.16700433194637299,0.16872720420360565,0.21549288928508759,0.28617486357688904,0.11117851734161377,0.05142214521765709
4,Zerega Avenue station,0.33756497502326965,0.0,0.3585960566997528,0.0,0.274078369140625,0.0,0.0,0.17063993215560913,0.5922505855560303,0.0,0.0,0.20733316242694855
5,Castle Hill Avenue station,0.0,0.0,0.3755739629268646,0.0,0.265470415353775,0.34313860535621643,0.12222816795110703,0.11723760515451431,0.6891335844993591,0.0,0.0,0.06085381656885147
6,Parkchester station,0.052946556359529495,0.10795032978057861,0.3633934557437897,0.0,0.30434176325798035,0.1697307974100113,0.11264429986476898,0.24855726957321167,0.2775338888168335,0.049262627959251404,0.15760961174964905,0.1543923020362854
7,St. Lawrence Avenue station,0.0,0.0,0.22530169785022736,0.0,0.7391292452812195,0.0,0.35192549228668213,0.16665273904800415,0.0,0.0,0.4547761082649231,0.0
8,Morrison Avenue­Soundview station,0.0,0.3449845314025879,0.4201454222202301,0.0,0.0,0.22040687501430511,0.0,0.1046757847070694,0.5227166414260864,0.08978914469480515,0.27317455410957336,0.0
9,Elder Avenue station,0.0,0.0,0.4946240186691284,0.0,0.2818116843700409,0.20824585855007172,0.14186185598373413,0.31915712356567383,0.34319865703582764,0.0,0.1856096386909485,0.0
10,Whitlock Avenue station,0.0,0.15646065771579742,0.2440457046031952,0.0,0.41458481550216675,0.17626971006393433,0.0,0.20527979731559753,0.6192840933799744,0.0,0.0,0.16244925558567047
11,Hunts Point Avenue station,0.0646151453256607,0.10403680801391602,0.31576481461524963,0.10603144764900208,0.2270868420600891,0.18246495723724365,0.13751834630966187,0.2813299894332886,0.1580689549446106,0.11677971482276917,0.27013254165649414,0.03617045655846596
12,Longwood Avenue station,0.0,0.0,0.3513498306274414,0.16267161071300507,0.2118612676858902,0.2606425881385803,0.0,0.0,0.606007993221283,0.08915647119283676,0.18513871729373932,0.10615815967321396
13,East 149th Street,0.013102118857204914,0.5221142768859863,0.013039767742156982,0.1881616860628128,0.2505607008934021,0.013021433725953102,0.012904486618936062,0.31826305389404297,0.013025491498410702,0.21087585389614105,0.3219345211982727,0.12299661338329315
14,E 143 St-St Mary's St station,0.014158962294459343,0.013952533714473248,0.20574836432933807,0.21319074928760529,0.5389935374259949,0.013955841772258282,0.4941486716270447,0.01392788253724575,0.32563626766204834,0.13836292922496796,0.013970930129289627,0.01395330112427473
15,Cypress Avenue station,0.014022011309862137,0.014042437076568604,0.5823154449462891,0.3613743484020233,0.01411629468202591,0.014129476621747017,0.2972542941570282,0.24355188012123108,0.2683557868003845,0.014044261537492275,0.16287317872047424,0.013920549303293228
16,Brook Avenue station,0.0,0.0,0.2607492506504059,0.21669474244117737,0.5038245916366577,0.0,0.1517065167427063,0.0,0.26418349146842957,0.0,0.3920021653175354,0.17962245643138885
17,Third Avenue­138th Street station,0.0,0.14174282550811768,0.17220406234264374,0.04699653387069702,0.38312551379203796,0.2543993592262268,0.24877804517745972,0.09972424805164337,0.32605695724487305,0.0,0.3013524115085602,0.02255820482969284
18,125th Street,0.10667261481285095,0.1967311054468155,0.22393691539764404,0.10226254910230637,0.23807986080646515,0.13231699168682098,0.04817020520567894,0.2657906413078308,0.36905568838119507,0.07829443365335464,0.1865408569574356,0.05214814841747284
19,116 Street,0.0,0.0,0.2011805921792984,0.06131752207875252,0.2581388056278229,0.47548362612724304,0.3907729387283325,0.13006874918937683,0.12638722360134125,0.10247965902090073,0.14552488923072815,0.10476653277873993
20,110th Street station,0.0,0.0,0.13994856178760529,0.28049957752227783,0.22527998685836792,0.3437603712081909,0.1265503615140915,0.0,0.584071159362793,0.05735304579138756,0.08977752923965454,0.13697390258312225
21,103rd Street station,0.0,0.0,0.22511228919029236,0.2412382811307907,0.3892573416233063,0.13554422557353973,0.20666803419589996,0.08721613138914108,0.3347461223602295,0.1510605812072754,0.21585223078727722,0.0
