,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,Shinjuku station,0.02629445493221283,0.20365148782730103,0.3009610176086426,0.03282221034169197,0.34911248087882996,0.08715835958719254,0.1601330190896988,0.13048791885375977,0.2026885747909546,0.25316596031188965,0.24460171163082123,0.0
1,Shinjuku-sanchome station,0.0,0.1334293931722641,0.3383443057537079,0.011331257410347462,0.37153294682502747,0.14463461935520172,0.1321936547756195,0.23690731823444366,0.24727527797222137,0.17588935792446136,0.20700812339782715,0.0
2,Akebonobashi station,0.0,0.09314008057117462,0.34232181310653687,0.27182868123054504,0.25134825706481934,0.03844735398888588,0.2277161031961441,0.2119857370853424,0.287124365568161,0.10677904635667801,0.09558122605085373,0.07081352174282074
3,Ichigaya station,0.0,0.1142643541097641,0.27600952982902527,0.21678875386714935,0.33046892285346985,0.0618814155459404,0.16976255178451538,0.14229771494865417,0.32570189237594604,0.2864176332950592,0.07523347437381744,0.0
4,Kudanshita station,0.0,0.07911045104265213,0.2911151647567749,0.3168993890285492,0.24058929085731506,0.07169466465711594,0.047137681394815445,0.09071508049964905,0.37372156977653503,0.3280651867389679,0.10345017910003662,0.05691033974289894
5,Jimbocho station,0.0,0.046809226274490356,0.3213849365711212,0.2968928813934326,0.2345038205385208,0.09976154565811157,0.19560682773590088,0.14225590229034424,0.2516654133796692,0.2380964159965515,0.11734676361083984,0.05502866581082344
6,Ogawamachi station,0.0,0.078781858086586,0.23801036179065704,0.42397457361221313,0.0,0.2540509104728699,0.06402917206287384,0.15126073360443115,0.3132588863372803,0.18041661381721497,0.2224504053592682,0.06858423352241516
7,Iwamotocho station,0.0,0.03441065549850464,0.21936635673046112,0.06386144459247589,0.2303442358970642,0.4507855772972107,0.07417552173137665,0.12312767654657364,0.19418343901634216,0.020081588998436928,0.548705518245697,0.039726220071315765
8,Bakuro-yokoyama station,0.04830114543437958,0.0,0.3234376609325409,0.1428496390581131,0.34738650918006897,0.1370382457971573,0.08211980015039444,0.13733868300914764,0.5672472715377808,0.06522829830646515,0.11345942318439484,0.03460654243826866
9,Hamacho station,0.0,0.0,0.20999430119991302,0.12153759598731995,0.47680211067199707,0.1808309257030487,0.2815937101840973,0.383462518453598,0.28628185391426086,0.03783484920859337,0.0,0.0
10,Morishita station,0.044421348720788956,0.0,0.3796846568584442,0.09709560871124268,0.4169561564922333,0.05998777970671654,0.2999421954154968,0.13987283408641815,0.2964971661567688,0.11805717647075653,0.09680970758199692,0.048820894211530685
11,Kikukawa station,0.02096831612288952,0.6840272545814514,0.23226311802864075,0.020919835194945335,0.020926697179675102,0.020894745364785194,0.020835930481553078,0.32088062167167664,0.02096480131149292,0.44092291593551636,0.020865077152848244,0.17553064227104187
12,Sumiyoshi station,0.0,0.08837343007326126,0.39078933000564575,0.11683151870965958,0.20304113626480103,0.19950011372566223,0.0,0.20651830732822418,0.2039877474308014,0.314764142036438,0.16999098658561707,0.1032717153429985
13,Nishi-ojima station,0.2829645872116089,0.22827337682247162,0.0,0.0,0.28964313864707947,0.18135516345500946,0.12292265146970749,0.0,0.5446906685829163,0.0,0.3056790828704834,0.0
14,Ojima station,0.0,0.05884242802858353,0.26112714409828186,0.19876690208911896,0.31954073905944824,0.15988822281360626,0.13232259452342987,0.10281510651111603,0.38846221566200256,0.14259003102779388,0.1979777216911316,0.03583230450749397
15,Higashi-ojima station,0.0,0.09371315687894821,0.07846305519342422,0.2081006020307541,0.5787065029144287,0.039518021047115326,0.24775226414203644,0.18107575178146362,0.4283353388309479,0.0,0.1257939338684082,0.015539735555648804
16,Funabori station,0.0,0.1252388209104538,0.2169683873653412,0.29245874285697937,0.2108563780784607,0.15259796380996704,0.1059761494398117,0.11225507408380508,0.3537614345550537,0.07471362501382828,0.17579405009746552,0.1774996966123581
17,Ichinoe station,0.018209517002105713,0.12054991722106934,0.18832725286483765,0.15383192896842957,0.30263999104499817,0.21644136309623718,0.19561667740345,0.04041636735200882,0.4935261607170105,0.10151319205760956,0.14033524692058563,0.028592396527528763
18,Mizue station,0.0,0.0,0.3661307394504547,0.0,0.53061443567276,0.08837548643350601,0.18746371567249298,0.22302967309951782,0.24291135370731354,0.0,0.3366530239582062,0.0
19,Shinozaki station,0.13700993359088898,0.0,0.23033490777015686,0.17751216888427734,0.33716851472854614,0.11661356687545776,0.2320060282945633,0.14342200756072998,0.5021045804023743,0.06441739946603775,0.05669206380844116,0.0
20,Moto-Yawata station,0.0,0.10916823893785477,0.3266829550266266,0.21457253396511078,0.23106035590171814,0.11773546040058136,0.1503325253725052,0.1754532754421234,0.4589693546295166,0.14883960783481598,0.04316313564777374,0.02324211224913597
