,review
0," It is a very fast convenience in a short time stop.When the diamonds are so bad that the driving intervals in Nishimagome are empty, there is a lot of people with a narrow home.It is a Doyoung subway used in taxes, but it is a dangerous state for the situation.In order to take a taxi, it is necessary to go to the street, so I don't think it is a station that endures practical at this time.Some trains of the Margotes are also on the side of the Izumi Dake Sinagawa Station.Wheelchair is at the entrance of Mita Station.The groove is only staircase in the pattern.Maintenance with the Yamanote Line New Station!/Because there is only one side of the elevator and the escalator, the worst is for those who have a substitute from Haneda Airport or those who are uncomfortable. "
1," are old.I know that I like the analog of Japanese analog, but for people who are uncomfortable and foreigners from Haneda Airport, the batch of transit or the equipment is the worst./GOOGLE map, but the A1 exit is marked in the southeast, but it is closed because it is under construction.There is no sign during the closing of the exit, so if you find the entrance from the ground and the southeast, you cannot arrive at the station., I walk a little bit, but I survive. "
2," station is quite old and poor.There are many ointments of Akayoshisa Temple, and it is also a deep temple for Akayoshi.When Akaho was born and raised, I thought that when I was three, I thought I would endure once so that I would forget time in the television drama or movie of the loyalty.Doctors were quietly sleeping and felt that they were still in Japan.So far, Kabukina, doll premature ejaculation, television drama,…Please be careful when you visit Tokyo and go to Haneda Airport.In particular, if you take a train marked with ""Nishima Gome"", we will move in the other direction from Haneda Airport.I only passed through the details/a few o'clock, but I started the exterior with a transfer with JR. "
3," I am using the Asakusa Line, but Daiichi Kei's Tamachi Station exit has a lot of ""down the stairs"" to the gate, which is frustrated when you are tired.In addition, "
4," Currently, the toilet is under construction, and more frustrated…?? "
5,"20200913 The A6 exit with the ""coming down"" is closed because of the nearby building construction.It is good to improve, but ... "
6,"20200919 The toilet renovation seems to be over and it is very beautiful?The A5 · A6 exit has been closed since September 13, 2020, according to the reconstruction of the melee building.※ At the time of March 2021/Daiichi Kei Hin's response is the worst. "
7,"I found a bakery on Google, but I was disappointed. "
8,b2 outlets are not recommended if possible. 
9," because we are stopping the escalator to resolve congestion, the heat that climbs the stairs is rather confronted, so it is very dangerous.When my eyes stopped suddenly, it seemed to fall out of balance and fell dangerously.Anyway, I endured it, but if you are trying to get rid of people behind you…"
10, lacks career guidance 
11," \There are some difficult places, so it's definitely transfers to ride the flow of others than to investigate themselves.. "
12," But when it is a holiday, it is a terrible reduction in humans, becoming a very quiet distance, and it is one of the rare streets.n "
13, will be full of drunkenness at night-! 
14," irony, it's because you have never seen such a severe station. "
15," is crowded in peak time./ JR Higashi, Doei, Tokyo Metro, Yurikamome, which is famous for being messed up by the expansion of the surrounding buildings. "
16," You're in detail at your work, so why do you make a mistake.I'm here, but if you're a refund, you don't need that issue. "
17, I hate Sinbashi because of you^_^
18,"2019 -I had a very bad experience at Sinbashi Station as the entire train network in Tokyo was stagnant.I was trapped inside the train and was trapped for almost an hour and a half after passing through Sinbashi.The railroad authorities failed to manage passenger traffic.The train was too crowded and the platform was crowded, so passengers could not get off the train.That day no one could step on the railroad platform.In the end, the authorities had to take a ticket to manage the entry traffic and open the exit gate./ The station connected to various lines with subway or Yurika Mome JR.When you come out of the station, the celery man's pub is unfolded.It is convenient for Yurika Momero to be convenient.there is.It is the role of the mind.The west exit of the station is SL, and the headquarters building in the east is lively.It is a station with detailed/JR, subway, Yurika Mome and various routes.It is often reflected in TV interviews.It was easier to pass by the ticket gate because it was better than before.In the opposite, there is a Shiodomeguchi of the Yurika Mome and the transfer.It is a pilgrimage spot where the main character is drawn./ Akihabara moved from Sinbashi./ If there is only a coffee shop counter and a small table seat, for one person.It's more than 500 yen of coffee unit price.This is a two and a half -month -and -a -month declaration of emergency.There are many withdrawals..The general opinion of Japan is Sinbashi Station./ It is a village with many foreigners./ Tokaido Main, Yamanote Line, Keihin Dohoku Line and Ginja Line, and Doei Subway Station.It's always a lively./When I go to the exhibition on the Tokyo Big Site, I go to Yurika Momo with a transfer transfer.Finding the locker is difficult to pick up because of the small lockers and wide, so it is difficult to pick up (> _ <) \It's so good and beautiful.Doei Subway Asakusa Line and Yurika Mega."
19," is convenient because it is good..If you ask for alternative transportation at Yurika Mome Shinbashi Station, you will be rejected as a target except for a regular pass or a ticket.If you ask for a reason, ""If you are in prepaid, like a regular pass or ticket, you can transport it, but the watermelon and Pasmo are out of the target because they charge and ride the money.""""ha?Wouldn't it be different from the regular authority to charge and ride in advance? ”Such rules are inevitable, but if the train stops due to a clear maintenance of a signal confirmation, not an accident in a rush, and a passenger suffering from the lungs, it is said that it is crowded.Home walking is also common, and there will be many salarymen who are commuting without buying regular passes.Anyway, I want to respond to the passenger first.How did you make excuses,It is your responsibility to stop the car.Passengers are victims.In it, the stroller family of aggressive, unusual, and horizontal patterns is very noticeable without following the rules.You can drop the reputation of another stroller that identifies common sense."
20," is a transit guide on a smartphone.Muslims think it's hard to find halal food here.The air conditioner is full and the wind is very cool.Help it and the attitude is bad when I speak.I think it's not suitable for hospitality.It is also in the subway and Yurika Momo, and this is also in Asakusa and Ariake. "
21," is also relatively valid as a waiting place, but there is also a complex place.The response and attitude of the reversal of the pattern are so bad, especially the staff of Midori's window, it was difficult because the story did not work./Multiple JR Lines, Subway 2 routes, Yurika Momaga Street, and Yurikamome are famous for the city of office workers.It is also close to the Shiodome station where the Oedo Line passes. "
22," using this summer vacation, I moved to the old Shinbashi stop!I felt bad at around 22 o'clock, and I was resting in the bathroom, and I realized that it would close.It's been two hours, where did you go?I said I was resting in the bathroom because I felt bad, but I was forced to collect 200 yen side by side with theories that I don't know about 2 hours. "
23,"I couldn't say anything strongly, but it was unreasonable. "
24," \I think you are using it./It is a station where you can go directly to Kabukija.I want to use an exit close to work, but I can only open it from 7 o'clock.This time I didn't install the escalator.As it is scattered in other word -of -mouth, I can only see the garbage that seems to be well adopted.There's a lot of severe stations so far (laughs) "
25," near Sinbashi Hagi and Dongguk.In the old days, it was close to Tokyo Station, which seems to have been a tent of the OTC, and it is a few minutes from Ginza Station.Obviously there is an elevator going to the platform 2 to go to Narita Airport.Eventually, I climbed the stairs with a heavy travel bag and arrived on the platform, but eventually missed the train, I had to wait 30 minutes to take the next train, and it took more time to go to the airport.It was scheduled to arrive at Narita Airport at 10:30 am, but it was delayed to 11:30 am because it missed the train for 2 minutes. "
26," I ate my friends, but the dough is not delicious.Among them, the cream was not delicious. I bought a "
27, I asked at the window and asked if I asked for a bad response.. ”I said a word for a hard place. 
28," How to use it is very convenient?This is difficult.?/Indeed, Do -young.The structure of the station is severe."
29," I received it as a family after returning home, but the custard taste is thin and the caramel is the taste of poison (● Kuta ●)."
30, is also because Takashi Maya is burdened with construction costs in the construction of the station. 
31, was emptyed by 30cm from the railing.. 
32, is embarrassed by Japanese people.It was one of the stations I visited in August.I tried to abuse it as much as possible because I had a three -day pass for Doei/Tokyo.The other time I was on the charity was when I went to Ginza Station or Shinbashi Station. 
33,"2.Narita Airport direction: A4 exit/employee's response is excellent but stationIt feels an old feeling./ Because it has a torque, it is convenient because it collapses while waiting for the fast.It's a station./Fat staff wearing glasses has a lot of racism./ It takes time to transfer./ It's a quiet role./?/It's too far to go to the opposite home."
34,There is no benefit. 
35," Asakusabashi Station has a facility near Osiage, and the first day of Keikyu, the early morning all morning, was completed until many years ago.But clean and dirty time…The most severe thing was home garbage (a variety of big bags ... The courage of washing detergent…) is in the private room toilet ,,,.Then, the former person's dirt has not flowed, or vomiting, no toilet paper, (women's toilet).Saying not (it was stolen by someone ...) was very shocked...(Crying)/JR Sobu Line (Each Station) and the station of the Asakusa Line of the Doe Subway.The station of "
36,"jr was attacked by a radical attack in the `` simultaneous guerrilla case '' on November 29, 60 (1985).It is incapable of operating. "
37,It is the largest blot of the century this century.It is not good to have a significant lungs because of the broken lines.
38," Anyway, this station is only deformed./ It is an impossible and impossible traditional good station.!(◎ _ ◎;) "
39," is a pity that Midori's window has disappeared./ Asakusa is the station next to two, and the Asakusa bridge.When you leave the station, the doll's doll shop is side -by -side, but the ninjocho is next to two.This is the Asakusa Bridge.Of course, the minimum tool is equipped, but the leather has a bad quality or color as a whole, and I have been caught in some shops as if the fake and recycled leather of Kodoban is thick.Asakusa's leather shop is completely good.The elevator that can be used is also a structure that suffers quite a bit of a weak foot because of the limited location.It is a city that loses morality. "
40," also smells like cigarettes in the ground smoking in Asakusa.It cannot be recommended for medicinal performers.I want you to demolish the smoking.In particular, if you want to get to the east exit, you will have to climb the stairs to enter the station and go to the home to Shinjuku, so you have to use the stairs again.??Here you can go to the famous attraction Sensoji!Since the elevator was possible recently, it would be easy to use, and it would be helpful for women with a stroller with a child.Because I came out, if I explained the work to Mr. Reverse, I was in Van Gire from the beginning.Yes. "
